county_state,state,candidate_won,party,winner_votes,nonwinner_votes,total_votes,pct_trump,pct_biden
kent_de,DE,Joe Biden,DEM,44552,42473,87025,0.488,0.512
new castle_de,DE,Joe Biden,DEM,195034,92599,287633,0.322,0.678
district of columbia_dc,DC,Joe Biden,DEM,39041,2640,41681,0.063,0.937
alachua_fl,FL,Joe Biden,DEM,89704,52900,142604,0.371,0.629
broward_fl,FL,Joe Biden,DEM,618752,338920,957672,0.354,0.646
duval_fl,FL,Joe Biden,DEM,252556,240264,492820,0.488,0.512
gadsden_fl,FL,Joe Biden,DEM,16153,7609,23762,0.32,0.68
hillsborough_fl,FL,Joe Biden,DEM,376367,335696,712063,0.471,0.529
leon_fl,FL,Joe Biden,DEM,103517,59412,162929,0.365,0.635
miami-dade_fl,FL,Joe Biden,DEM,617864,538952,1156816,0.466,0.534
orange_fl,FL,Joe Biden,DEM,395014,252389,647403,0.39,0.61
osceola_fl,FL,Joe Biden,DEM,97297,75139,172436,0.436,0.564
palm beach_fl,FL,Joe Biden,DEM,433572,339586,773158,0.439,0.561
pinellas_fl,FL,Joe Biden,DEM,277450,282265,559715,0.504,0.496
seminole_fl,FL,Joe Biden,DEM,132528,128287,260815,0.492,0.508
baldwin_ga,GA,Joe Biden,DEM,9140,9111,18251,0.499,0.501
bibb_ga,GA,Joe Biden,DEM,43408,27306,70714,0.386,0.614
calhoun_ga,GA,Joe Biden,DEM,1263,935,2198,0.425,0.575
chatham_ga,GA,Joe Biden,DEM,78247,55161,133408,0.413,0.587
clarke_ga,GA,Joe Biden,DEM,36055,15291,51346,0.298,0.702
clay_ga,GA,Joe Biden,DEM,791,644,1435,0.449,0.551
clayton_ga,GA,Joe Biden,DEM,95466,16864,112330,0.15,0.85
cobb_ga,GA,Joe Biden,DEM,221847,171881,393728,0.437,0.563
dekalb_ga,GA,Joe Biden,DEM,308162,62584,370746,0.169,0.831
dougherty_ga,GA,Joe Biden,DEM,24568,10719,35287,0.304,0.696
douglas_ga,GA,Joe Biden,DEM,42814,26292,69106,0.38,0.62
fulton_ga,GA,Joe Biden,DEM,380212,143567,523779,0.274,0.726
gwinnett_ga,GA,Joe Biden,DEM,241994,172029,414023,0.416,0.584
hancock_ga,GA,Joe Biden,DEM,2976,1177,4153,0.283,0.717
henry_ga,GA,Joe Biden,DEM,73443,49555,122998,0.403,0.597
jefferson_ga,GA,Joe Biden,DEM,4058,3581,7639,0.469,0.531
liberty_ga,GA,Joe Biden,DEM,13104,8290,21394,0.387,0.613
macon_ga,GA,Joe Biden,DEM,2858,1805,4663,0.387,0.613
muscogee_ga,GA,Joe Biden,DEM,49446,31068,80514,0.386,0.614
newton_ga,GA,Joe Biden,DEM,29789,24445,54234,0.451,0.549
randolph_ga,GA,Joe Biden,DEM,1671,1402,3073,0.456,0.544
richmond_ga,GA,Joe Biden,DEM,59119,27890,87009,0.321,0.679
rockdale_ga,GA,Joe Biden,DEM,31237,13444,44681,0.301,0.699
stewart_ga,GA,Joe Biden,DEM,1182,808,1990,0.406,0.594
sumter_ga,GA,Joe Biden,DEM,6314,5834,12148,0.48,0.52
talbot_ga,GA,Joe Biden,DEM,2114,1408,3522,0.4,0.6
taliaferro_ga,GA,Joe Biden,DEM,561,367,928,0.395,0.605
terrell_ga,GA,Joe Biden,DEM,2376,2040,4416,0.462,0.538
warren_ga,GA,Joe Biden,DEM,1468,1182,2650,0.446,0.554
washington_ga,GA,Joe Biden,DEM,4743,4734,9477,0.5,0.5
hawaii_hi,HI,Joe Biden,DEM,58731,29083,87814,0.331,0.669
honolulu_hi,HI,Joe Biden,DEM,238869,143245,382114,0.375,0.625
kauai_hi,HI,Joe Biden,DEM,21225,12272,33497,0.366,0.634
maui_hi,HI,Joe Biden,DEM,47305,23739,71044,0.334,0.666
blaine_id,ID,Joe Biden,DEM,8919,4370,13289,0.329,0.671
latah_id,ID,Joe Biden,DEM,10236,10334,20570,0.502,0.498
teton_id,ID,Joe Biden,DEM,3318,3029,6347,0.477,0.523
champaign_il,IL,Joe Biden,DEM,57067,38501,95568,0.403,0.597
cook_il,IL,Joe Biden,DEM,1725973,595426,2321399,0.256,0.744
dekalb_il,IL,Joe Biden,DEM,24643,23346,47989,0.486,0.514
dupage_il,IL,Joe Biden,DEM,281222,203842,485064,0.42,0.58
jackson_il,IL,Joe Biden,DEM,11181,11535,22716,0.508,0.492
kane_il,IL,Joe Biden,DEM,130166,101710,231876,0.439,0.561
kendall_il,IL,Joe Biden,DEM,33168,31037,64205,0.483,0.517
lake_il,IL,Joe Biden,DEM,204032,130124,334156,0.389,0.611
mclean_il,IL,Joe Biden,DEM,43933,43456,87389,0.497,0.503
peoria_il,IL,Joe Biden,DEM,43578,40395,83973,0.481,0.519
rock island_il,IL,Joe Biden,DEM,36691,30126,66817,0.451,0.549
st. clair_il,IL,Joe Biden,DEM,68325,59779,128104,0.467,0.533
will_il,IL,Joe Biden,DEM,183915,162351,346266,0.469,0.531
winnebago_il,IL,Joe Biden,DEM,64056,63654,127710,0.498,0.502
cook suburbs_il,IL,Joe Biden,DEM,781238,395420,1176658,0.336,0.664
lake_in,IN,Joe Biden,DEM,124870,95086,219956,0.432,0.568
marion_in,IN,Joe Biden,DEM,247772,141847,389619,0.364,0.636
monroe_in,IN,Joe Biden,DEM,39861,23290,63151,0.369,0.631
st. joseph_in,IN,Joe Biden,DEM,59896,55342,115238,0.48,0.52
tippecanoe_in,IN,Joe Biden,DEM,35017,36431,71448,0.51,0.49
black hawk_ia,IA,Joe Biden,DEM,35647,30946,66593,0.465,0.535
johnson_ia,IA,Joe Biden,DEM,59177,24674,83851,0.294,0.706
linn_ia,IA,Joe Biden,DEM,70874,56584,127458,0.444,0.556
polk_ia,IA,Joe Biden,DEM,146250,112505,258755,0.435,0.565
scott_ia,IA,Joe Biden,DEM,46926,45673,92599,0.493,0.507
story_ia,IA,Joe Biden,DEM,29175,21863,51038,0.428,0.572
douglas_ks,KS,Joe Biden,DEM,39436,18104,57540,0.315,0.685
johnson_ks,KS,Joe Biden,DEM,184259,165127,349386,0.473,0.527
riley_ks,KS,Joe Biden,DEM,11940,11915,23855,0.499,0.501
shawnee_ks,KS,Joe Biden,DEM,43015,43107,86122,0.501,0.499
wyandotte_ks,KS,Joe Biden,DEM,35566,19541,55107,0.355,0.645
fayette_ky,KY,Joe Biden,DEM,90600,62312,152912,0.408,0.592
jefferson_ky,KY,Joe Biden,DEM,228358,158271,386629,0.409,0.591
caddo parish_la,LA,Joe Biden,DEM,55110,49802,104912,0.475,0.525
east baton rouge parish_la,LA,Joe Biden,DEM,115577,92605,208182,0.445,0.555
east carroll parish_la,LA,Joe Biden,DEM,1900,1136,3036,0.374,0.626
iberville parish_la,LA,Joe Biden,DEM,8514,8205,16719,0.491,0.509
madison parish_la,LA,Joe Biden,DEM,2654,2016,4670,0.432,0.568
orleans parish_la,LA,Joe Biden,DEM,147854,29965,177819,0.169,0.831
st. helena parish_la,LA,Joe Biden,DEM,3346,2812,6158,0.457,0.543
st. james parish_la,LA,Joe Biden,DEM,6510,6080,12590,0.483,0.517
st. john the baptist parish_la,LA,Joe Biden,DEM,13582,7850,21432,0.366,0.634
tensas parish_la,LA,Joe Biden,DEM,1329,1225,2554,0.48,0.52
franklin cty townships_me,ME,Joe Biden,DEM,31,21,52,0.404,0.596
indian township vtng dst_me,ME,Joe Biden,DEM,191,72,263,0.274,0.726
