County_State,County,State,SVI_CTGY,Metro_status,Census2019,FIPS,Census2019_65PlusPop,Census2019_18to64Pop
mason_mi,Mason County,MI,2.0,0.0,29144.0,26105,7069.0,16171.0
colusa_ca,Colusa County,CA,3.0,0.0,21547.0,06011,3214.0,12492.0
henry_al,Henry County,AL,3.0,1.0,17205.0,01067,4031.0,9666.0
pulaski_ky,Pulaski County,KY,3.0,0.0,64979.0,21199,12330.0,38165.0
franklin city_va,Franklin city,VA,3.0,0.0,7967.0,51620,1519.0,4378.0
aiken_sc,Aiken County,SC,3.0,1.0,170872.0,45003,33992.0,100341.0
outagamie_wi,Outagamie County,WI,1.0,1.0,187885.0,55087,28662.0,115400.0
allen_oh,Allen County,OH,3.0,1.0,102351.0,39003,18509.0,60350.0
dekalb_al,DeKalb County,AL,4.0,0.0,71513.0,01049,12601.0,41791.0
taylor_wi,Taylor County,WI,1.0,0.0,20343.0,55119,3980.0,11613.0
grady_ga,Grady County,GA,4.0,0.0,24633.0,13131,4563.0,13968.0
williamsburg city_va,Williamsburg city,VA,2.0,1.0,14954.0,51830,2620.0,10701.0
cass_ia,Cass County,IA,1.0,0.0,12836.0,19029,3022.0,6973.0
woodruff_ar,Woodruff County,AR,4.0,0.0,6320.0,05147,1476.0,3492.0
osborne_ks,Osborne County,KS,1.0,0.0,3421.0,20141,854.0,1833.0
unknown_al,Unknown County,AL,,,,UNK,,
twiggs_ga,Twiggs County,GA,4.0,1.0,8120.0,13289,1895.0,4663.0
whatcom_wa,Whatcom County,WA,2.0,1.0,229247.0,53073,41205.0,144088.0
grant_in,Grant County,IN,3.0,0.0,65769.0,18053,12783.0,39366.0
beltrami_mn,Beltrami County,MN,4.0,0.0,47188.0,27007,7773.0,27569.0
garfield_mt,Garfield County,MT,1.0,0.0,1258.0,30033,303.0,663.0
ulster_ny,Ulster County,NY,2.0,1.0,177573.0,36111,36183.0,110446.0
lake_il,Lake County,IL,2.0,1.0,696535.0,17097,103201.0,427168.0
brown_mn,Brown County,MN,1.0,0.0,25008.0,27015,5335.0,14221.0
gordon_ga,Gordon County,GA,4.0,0.0,57963.0,13129,8856.0,35263.0
el paso_tx,El Paso County,TX,4.0,1.0,839238.0,48141,105175.0,509644.0
bedford_pa,Bedford County,PA,2.0,0.0,47888.0,42009,11221.0,27499.0
tom green_tx,Tom Green County,TX,3.0,1.0,119200.0,48451,18625.0,72242.0
webster parish_la,Webster Parish,LA,4.0,1.0,38340.0,22119,7760.0,21991.0
kittson_mn,Kittson County,MN,1.0,0.0,4298.0,27069,1069.0,2282.0
jasper_ga,Jasper County,GA,3.0,1.0,14219.0,13159,2520.0,8404.0
page_ia,Page County,IA,2.0,0.0,15107.0,19145,3488.0,8789.0
andrew_mo,Andrew County,MO,1.0,1.0,17712.0,29003,3434.0,10219.0
orange_tx,Orange County,TX,3.0,1.0,83396.0,48361,13729.0,49015.0
king william_va,King William County,VA,1.0,1.0,17148.0,51101,2803.0,10433.0
barton_mo,Barton County,MO,3.0,0.0,11754.0,29011,2493.0,6536.0
briscoe_tx,Briscoe County,TX,2.0,0.0,1546.0,48045,404.0,840.0
cimarron_ok,Cimarron County,OK,2.0,0.0,2137.0,40025,543.0,1048.0
jefferson davis parish_la,Jefferson Davis Parish,LA,4.0,0.0,31368.0,22053,5247.0,18134.0
kimball_ne,Kimball County,NE,3.0,0.0,3632.0,31105,905.0,1960.0
wallace_ks,Wallace County,KS,1.0,0.0,1518.0,20199,368.0,778.0
platte_mo,Platte County,MO,1.0,1.0,104418.0,29165,15641.0,64309.0
st. tammany parish_la,St. Tammany Parish,LA,2.0,1.0,260419.0,22103,45560.0,153108.0
autauga_al,Autauga County,AL,2.0,1.0,55869.0,01001,8924.0,33980.0
carroll_ar,Carroll County,AR,3.0,0.0,28380.0,05015,6772.0,15528.0
humboldt_nv,Humboldt County,NV,3.0,0.0,16831.0,32013,2427.0,9884.0
leflore_ms,Leflore County,MS,4.0,0.0,28183.0,28083,4150.0,16227.0
pontotoc_ok,Pontotoc County,OK,3.0,0.0,38284.0,40123,6355.0,22719.0
monroe_ky,Monroe County,KY,3.0,0.0,10650.0,21171,2048.0,6186.0
walker_ga,Walker County,GA,3.0,1.0,69761.0,13295,13199.0,41547.0
todd_ky,Todd County,KY,4.0,0.0,12294.0,21219,1995.0,7042.0
lake_mi,Lake County,MI,4.0,0.0,11853.0,26085,3538.0,6363.0
kent_mi,Kent County,MI,2.0,1.0,656955.0,26081,92820.0,407070.0
nye_nv,Nye County,NV,3.0,0.0,46523.0,32023,14096.0,24707.0
lincoln_or,Lincoln County,OR,3.0,0.0,49962.0,41041,14656.0,27082.0
berkeley_sc,Berkeley County,SC,3.0,1.0,227907.0,45015,32276.0,141472.0
lubbock_tx,Lubbock County,TX,3.0,1.0,310569.0,48303,39476.0,197568.0
sumter_fl,Sumter County,FL,1.0,1.0,132420.0,12119,77034.0,45991.0
boone_ia,Boone County,IA,1.0,0.0,26234.0,19015,4987.0,15711.0
dade_ga,Dade County,GA,3.0,1.0,16116.0,13083,3240.0,9788.0
chase_ks,Chase County,KS,2.0,0.0,2648.0,20017,687.0,1439.0
gosper_ne,Gosper County,NE,1.0,0.0,1990.0,31073,487.0,1075.0
reeves_tx,Reeves County,TX,4.0,0.0,15976.0,48389,1878.0,10517.0
runnels_tx,Runnels County,TX,3.0,0.0,10264.0,48399,2153.0,5732.0
amite_ms,Amite County,MS,4.0,0.0,12297.0,28005,2967.0,6836.0
aleutians west census area_ak,Aleutians West Census Area,AK,2.0,0.0,5634.0,02016,419.0,4574.0
rowan_nc,Rowan County,NC,4.0,1.0,142088.0,37159,25371.0,85358.0
halifax_nc,Halifax County,NC,4.0,0.0,50010.0,37083,10690.0,28701.0
sauk_wi,Sauk County,WI,1.0,0.0,64442.0,55111,12281.0,37544.0
unknown_nc,Unknown County,NC,,,,UNK,,
green_ky,Green County,KY,3.0,0.0,10941.0,21087,2307.0,6386.0
wyoming_wv,Wyoming County,WV,3.0,0.0,20394.0,54109,4486.0,11746.0
pitt_nc,Pitt County,NC,4.0,1.0,180742.0,37147,25045.0,117421.0
pendleton_ky,Pendleton County,KY,2.0,1.0,14590.0,21191,2403.0,8861.0
swift_mn,Swift County,MN,2.0,0.0,9266.0,27151,2079.0,5033.0
juneau city and borough_ak,Juneau City and Borough,AK,2.0,0.0,31974.0,02110,4461.0,20764.0
hillsborough_fl,Hillsborough County,FL,3.0,1.0,1471968.0,12057,214035.0,932695.0
dekalb_in,DeKalb County,IN,1.0,0.0,43475.0,18033,7200.0,25823.0
wayne_ne,Wayne County,NE,1.0,0.0,9385.0,31179,1566.0,5977.0
clinton_il,Clinton County,IL,1.0,1.0,37562.0,17027,6745.0,22908.0
waldo_me,Waldo County,ME,1.0,0.0,39715.0,23027,9261.0,23237.0
talbot_md,Talbot County,MD,1.0,0.0,37181.0,24041,11057.0,19357.0
comal_tx,Comal County,TX,1.0,1.0,156209.0,48091,28528.0,92558.0
thomas_ks,Thomas County,KS,1.0,0.0,7777.0,20193,1405.0,4547.0
dinwiddie_va,Dinwiddie County,VA,2.0,1.0,28544.0,51053,5121.0,17745.0
burke_ga,Burke County,GA,4.0,1.0,22383.0,13033,3575.0,13066.0
beadle_sd,Beadle County,SD,3.0,0.0,18453.0,46005,3280.0,10180.0
queen anne's_md,Queen Anne's County,MD,1.0,1.0,50381.0,24035,9681.0,29938.0
kern_ca,Kern County,CA,4.0,1.0,900202.0,06029,101155.0,539960.0
st. francis_ar,St. Francis County,AR,4.0,0.0,24994.0,05123,4208.0,15550.0
kalawao_hi,Kalawao County,HI,2.0,1.0,86.0,15005,39.0,47.0
fremont_co,Fremont County,CO,3.0,0.0,47839.0,08043,10594.0,29561.0
shawnee_ks,Shawnee County,KS,3.0,1.0,176875.0,20177,33317.0,102418.0
marion_ms,Marion County,MS,4.0,0.0,24573.0,28091,4753.0,14207.0
tucker_wv,Tucker County,WV,2.0,0.0,6839.0,54093,1835.0,3996.0
otero_co,Otero County,CO,4.0,0.0,18278.0,08089,3780.0,10129.0
clinton_pa,Clinton County,PA,2.0,0.0,38632.0,42035,7402.0,23541.0
rockingham_va,Rockingham County,VA,2.0,1.0,81948.0,51165,15971.0,48149.0
madison_ny,Madison County,NY,1.0,1.0,70941.0,36053,13394.0,44093.0
jefferson_co,Jefferson County,CO,1.0,1.0,582881.0,08059,98793.0,370890.0
gunnison_co,Gunnison County,CO,1.0,0.0,17462.0,08051,2384.0,12163.0
poweshiek_ia,Poweshiek County,IA,1.0,0.0,18504.0,19157,3954.0,10930.0
washington_co,Washington County,CO,2.0,0.0,4908.0,08121,1048.0,2763.0
ochiltree_tx,Ochiltree County,TX,3.0,0.0,9836.0,48357,1148.0,5637.0
panola_tx,Panola County,TX,3.0,0.0,23194.0,48365,4589.0,13204.0
grayson_va,Grayson County,VA,3.0,0.0,15550.0,51077,3938.0,9052.0
palo pinto_tx,Palo Pinto County,TX,4.0,0.0,29189.0,48363,5893.0,16583.0
belknap_nh,Belknap County,NH,1.0,0.0,61303.0,33001,13976.0,36118.0
harper_ks,Harper County,KS,2.0,0.0,5436.0,20077,1277.0,2815.0
madison parish_la,Madison Parish,LA,4.0,0.0,10951.0,22065,1635.0,6712.0
grant parish_la,Grant Parish,LA,3.0,1.0,22389.0,22043,3475.0,14224.0
woodward_ok,Woodward County,OK,3.0,0.0,20211.0,40153,3313.0,12032.0
clarke_al,Clarke County,AL,4.0,0.0,23622.0,01025,4843.0,13746.0
russell_al,Russell County,AL,4.0,1.0,57961.0,01113,8589.0,35385.0
tripp_sd,Tripp County,SD,2.0,0.0,5441.0,46123,1238.0,2921.0
tippecanoe_in,Tippecanoe County,IN,2.0,1.0,195732.0,18157,23280.0,132126.0
philadelphia_pa,Philadelphia County,PA,4.0,1.0,1584064.0,42101,221678.0,1020212.0
izard_ar,Izard County,AR,3.0,0.0,13629.0,05065,3558.0,7623.0
codington_sd,Codington County,SD,1.0,0.0,28009.0,46029,5135.0,16229.0
alexander_nc,Alexander County,NC,3.0,1.0,37497.0,37003,7667.0,22373.0
calhoun_al,Calhoun County,AL,4.0,1.0,113605.0,01015,20547.0,68585.0
coles_il,Coles County,IL,2.0,0.0,50621.0,17029,8848.0,32716.0
pickens_sc,Pickens County,SC,3.0,1.0,126884.0,45077,21240.0,82018.0
gallatin_il,Gallatin County,IL,2.0,0.0,4828.0,17059,1179.0,2687.0
perkins_ne,Perkins County,NE,1.0,0.0,2891.0,31135,686.0,1492.0
sioux_ia,Sioux County,IA,1.0,0.0,34855.0,19167,5668.0,19800.0
washington_in,Washington County,IN,2.0,1.0,28036.0,18175,4861.0,16717.0
gonzales_tx,Gonzales County,TX,4.0,0.0,20837.0,48177,3572.0,11700.0
waupaca_wi,Waupaca County,WI,1.0,0.0,50990.0,55135,10861.0,29829.0
las animas_co,Las Animas County,CO,4.0,0.0,14506.0,08071,3686.0,8218.0
pima_az,Pima County,AZ,4.0,1.0,1047279.0,04019,212554.0,619418.0
fulton_ga,Fulton County,GA,3.0,1.0,1063937.0,13121,127765.0,708139.0
collingsworth_tx,Collingsworth County,TX,4.0,0.0,2920.0,48087,555.0,1635.0
rutland_vt,Rutland County,VT,2.0,0.0,58191.0,50021,13232.0,34741.0
norfolk_ma,Norfolk County,MA,1.0,1.0,706775.0,25021,121823.0,438358.0
washington_ky,Washington County,KY,3.0,0.0,12095.0,21229,2235.0,7076.0
waukesha_wi,Waukesha County,WI,1.0,1.0,404198.0,55133,77551.0,240595.0
otsego_ny,Otsego County,NY,2.0,0.0,59493.0,36077,12936.0,37202.0
strafford_nh,Strafford County,NH,1.0,1.0,130633.0,33017,20173.0,86679.0
monroe_in,Monroe County,IN,2.0,1.0,148431.0,18105,20114.0,105119.0
lake_co,Lake County,CO,2.0,0.0,8127.0,08065,1188.0,5333.0
humphreys_ms,Humphreys County,MS,4.0,0.0,8064.0,28053,1428.0,4536.0
midland_mi,Midland County,MI,1.0,1.0,83156.0,26111,15705.0,49775.0
houston_ga,Houston County,GA,3.0,1.0,157863.0,13153,20492.0,97051.0
doddridge_wv,Doddridge County,WV,2.0,0.0,8448.0,54017,1844.0,5353.0
rockwall_tx,Rockwall County,TX,1.0,1.0,104915.0,48397,13395.0,63579.0
bear lake_id,Bear Lake County,ID,1.0,0.0,6125.0,16007,1265.0,3213.0
crowley_co,Crowley County,CO,4.0,0.0,6061.0,08025,850.0,4519.0
henry_va,Henry County,VA,4.0,0.0,50557.0,51089,12408.0,28463.0
sheridan_ne,Sheridan County,NE,3.0,0.0,5246.0,31161,1401.0,2690.0
utah_ut,Utah County,UT,2.0,1.0,636235.0,49049,50490.0,376460.0
newton_ga,Newton County,GA,3.0,1.0,111744.0,13217,14847.0,68035.0
guernsey_oh,Guernsey County,OH,3.0,0.0,38875.0,39059,7802.0,22508.0
hart_ga,Hart County,GA,3.0,0.0,26205.0,13147,5788.0,14995.0
st. joseph_mi,St. Joseph County,MI,3.0,0.0,60964.0,26149,11257.0,34996.0
franklin_ar,Franklin County,AR,3.0,0.0,17715.0,05047,3534.0,10222.0
baltimore_md,Baltimore County,MD,2.0,1.0,827370.0,24005,145304.0,503184.0
brown_il,Brown County,IL,2.0,0.0,6578.0,17009,925.0,4604.0
knox_tn,Knox County,TN,2.0,1.0,470313.0,47093,76036.0,295992.0
kingman_ks,Kingman County,KS,1.0,1.0,7152.0,20095,1542.0,4022.0
ballard_ky,Ballard County,KY,2.0,0.0,7888.0,21007,1727.0,4512.0
victoria_tx,Victoria County,TX,4.0,1.0,92084.0,48469,15242.0,53589.0
goshen_wy,Goshen County,WY,2.0,0.0,13211.0,56015,2951.0,7668.0
frederick_va,Frederick County,VA,1.0,1.0,89313.0,51069,15939.0,53067.0
sumter_sc,Sumter County,SC,4.0,1.0,106721.0,45085,17988.0,63371.0
mohave_az,Mohave County,AZ,4.0,1.0,212181.0,04015,65910.0,110912.0
dolores_co,Dolores County,CO,1.0,0.0,2055.0,08033,538.0,1117.0
mille lacs_mn,Mille Lacs County,MN,3.0,1.0,26277.0,27095,4889.0,15162.0
stutsman_nd,Stutsman County,ND,1.0,0.0,20704.0,38093,4129.0,12429.0
burlington_nj,Burlington County,NJ,1.0,1.0,445349.0,34005,77365.0,275825.0
frontier_ne,Frontier County,NE,1.0,0.0,2627.0,31063,635.0,1487.0
etowah_al,Etowah County,AL,3.0,1.0,102268.0,01055,19796.0,60696.0
