County_State,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122
mason_mi,5795.0,19.9,5.0,0.0,0.0,0.0,8.0,0.0,17777.0,61.0,8.0,58.2
colusa_ca,2666.0,12.4,9.0,0.0,11806.0,54.8,11.0,0.0,14465.0,67.1,12.0,33.6
henry_al,2369.0,13.8,9.0,0.0,6804.0,39.5,10.0,0.0,9335.0,54.3,11.0,33.8
pulaski_ky,8231.0,12.7,9.0,0.0,28835.0,44.4,10.0,0.0,33758.0,52.0,11.0,40.9
franklin city_va,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aiken_sc,22115.0,12.9,9.0,0.0,73932.0,43.3,10.0,0.0,94506.0,55.3,11.0,36.2
outagamie_wi,27297.0,14.5,1.0,0.0,106489.0,56.7,4.0,0.0,128898.0,68.6,4.0,55.2
allen_oh,11616.0,11.3,9.0,0.0,32402.0,31.7,10.0,0.0,47288.0,46.2,11.0,47.7
dekalb_al,5344.0,7.5,13.0,0.0,21388.0,29.9,13.0,0.0,29525.0,41.3,14.0,34.2
taylor_wi,1989.0,9.8,1.0,0.0,6328.0,31.1,1.0,0.0,7548.0,37.1,2.0,54.0
grady_ga,813.0,3.3,13.0,0.0,4314.0,17.5,13.0,0.0,12242.0,49.7,15.0,32.7
williamsburg city_va,169.0,1.1,5.0,0.0,562.0,3.8,5.0,0.0,6718.0,44.9,6.0,4.9
cass_ia,2504.0,19.5,1.0,0.0,6942.0,54.1,4.0,0.0,7940.0,61.9,4.0,56.4
woodruff_ar,1066.0,16.9,13.0,0.0,3509.0,55.5,15.0,0.0,4048.0,64.1,16.0,27.7
osborne_ks,675.0,19.7,1.0,0.0,1328.0,38.8,2.0,0.0,1551.0,45.3,3.0,50.7
unknown_al,36852.0,0.0,0.0,0.0,172555.0,0.0,0.0,0.0,232719.0,0.0,0.0,28.1
twiggs_ga,143.0,1.8,13.0,0.0,972.0,12.0,13.0,0.0,5153.0,63.5,16.0,29.4
whatcom_wa,35666.0,15.6,5.0,0.0,168674.0,73.6,8.0,0.0,180711.0,78.8,8.0,53.4
grant_in,9710.0,14.8,9.0,0.0,25519.0,38.8,10.0,0.0,30403.0,46.2,11.0,41.8
beltrami_mn,11981.0,25.4,13.0,0.0,26858.0,56.9,15.0,0.0,34971.0,74.1,16.0,47.5
garfield_mt,138.0,11.0,1.0,0.0,229.0,18.2,1.0,0.0,277.0,22.0,1.0,36.2
ulster_ny,21819.0,12.3,5.0,0.0,117679.0,66.3,8.0,0.0,143572.0,80.9,8.0,54.4
lake_il,104713.0,15.0,5.0,0.0,505331.0,72.5,8.0,0.0,613768.0,88.1,8.0,48.3
brown_mn,4774.0,19.1,1.0,0.0,14906.0,59.6,4.0,0.0,17069.0,68.3,4.0,56.3
gordon_ga,399.0,0.7,13.0,0.0,6776.0,11.7,13.0,0.0,24574.0,42.4,14.0,33.9
el paso_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852496.0,95.0,16.0,34.2
bedford_pa,4517.0,9.4,5.0,0.0,17083.0,35.7,6.0,0.0,20570.0,43.0,6.0,46.3
tom green_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66804.0,56.0,12.0,37.1
webster parish_la,5328.0,13.9,13.0,0.0,15221.0,39.7,14.0,0.0,18494.0,48.2,15.0,39.4
kittson_mn,1095.0,25.5,1.0,0.0,2168.0,50.4,3.0,0.0,2824.0,65.7,4.0,54.5
jasper_ga,547.0,3.8,9.0,0.0,2146.0,15.1,9.0,0.0,5652.0,39.7,10.0,33.9
page_ia,3064.0,20.3,5.0,0.0,7490.0,49.6,7.0,0.0,8759.0,58.0,8.0,52.9
andrew_mo,2428.0,13.7,1.0,0.0,5927.0,33.5,1.0,0.0,7618.0,43.0,2.0,49.2
orange_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35088.0,42.1,10.0,34.0
king william_va,1125.0,6.6,1.0,0.0,5891.0,34.4,2.0,0.0,9713.0,56.6,4.0,35.8
barton_mo,1154.0,9.8,9.0,0.0,3816.0,32.5,9.0,0.0,4459.0,37.9,10.0,37.6
briscoe_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,48.0,7.0,67.3
cimarron_ok,253.0,11.8,5.0,0.0,562.0,26.3,5.0,0.0,843.0,39.4,6.0,27.1
jefferson davis parish_la,3136.0,10.0,13.0,0.0,10355.0,33.0,13.0,0.0,12785.0,40.8,14.0,36.7
kimball_ne,137.0,3.8,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,44.1
wallace_ks,295.0,19.4,1.0,0.0,511.0,33.7,2.0,0.0,589.0,38.8,2.0,46.5
platte_mo,13734.0,13.2,1.0,0.0,54067.0,51.8,3.0,0.0,69670.0,66.7,4.0,46.9
st. tammany parish_la,44553.0,17.1,5.0,0.0,139519.0,53.6,7.0,0.0,163320.0,62.7,8.0,40.3
autauga_al,4877.0,8.7,5.0,0.0,20579.0,36.8,5.0,0.0,30697.0,54.9,7.0,31.7
carroll_ar,3099.0,10.9,9.0,0.0,12180.0,42.9,10.0,0.0,16043.0,56.5,11.0,36.9
humboldt_nv,1948.0,11.6,9.0,0.0,6384.0,37.9,10.0,0.0,8044.0,47.8,11.0,34.2
leflore_ms,4795.0,17.0,13.0,0.0,16180.0,57.4,15.0,0.0,19801.0,70.3,16.0,36.5
pontotoc_ok,8276.0,21.6,9.0,0.0,19149.0,50.0,11.0,0.0,23312.0,60.9,12.0,36.1
monroe_ky,1483.0,13.9,9.0,0.0,4405.0,41.4,10.0,0.0,5403.0,50.7,11.0,42.8
walker_ga,3750.0,5.4,9.0,0.0,16520.0,23.7,9.0,0.0,33876.0,48.6,11.0,32.0
todd_ky,1217.0,9.9,13.0,0.0,4656.0,37.9,14.0,0.0,5887.0,47.9,15.0,35.5
lake_mi,1676.0,14.1,13.0,0.0,6079.0,51.3,16.0,0.0,7653.0,64.6,16.0,43.1
