Recip_County,FIPS,Dose1_Recip_030121,Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_030121,Booster_Doses_Vax_Pct_030121,Dose1_Recip_090121,Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_090121,Booster_Doses_Vax_Pct_090121,Dose1_Recip_030122,Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_030122,Booster_Doses_Vax_Pct_030122
mason_mi,26105,5795.0,19.9,12.1,0,0,0.0,51.7,0,17777.0,61.0,60.1,58.2
colusa_ca,06011,2666.0,12.4,3.8,0,11806.0,54.8,45.8,0,14465.0,67.1,59.7,33.6
henry_al,01067,2369.0,13.8,6.1,0,6804.0,39.5,30.7,0,9335.0,54.3,44.9,33.8
pulaski_ky,21199,8231.0,12.7,6.1,0,28835.0,44.4,38.2,0,33758.0,52.0,45.6,40.9
franklin city_va,51620,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
aiken_sc,45003,22115.0,12.9,6.1,0,73932.0,43.3,35.9,0,94506.0,55.3,45.2,36.2
outagamie_wi,55087,27297.0,14.5,7.6,0,106489.0,56.7,52.9,0,128898.0,68.6,63.5,55.2
allen_oh,39003,11616.0,11.3,5.2,0,32402.0,31.7,30.4,0,47288.0,46.2,43.1,47.7
dekalb_al,01049,5344.0,7.5,3.7,0,21388.0,29.9,22.2,0,29525.0,41.3,33.4,34.2
taylor_wi,55119,1989.0,9.8,3.7,0,6328.0,31.1,28.9,0,7548.0,37.1,35.1,54.0
grady_ga,13131,813.0,3.3,2.1,0,4314.0,17.5,12.7,0,12242.0,49.7,43.4,32.7
williamsburg city_va,51830,169.0,1.1,0.7,0,562.0,3.8,3.1,0,6718.0,44.9,39.7,4.9
cass_ia,19029,2504.0,19.5,6.5,0,6942.0,54.1,50.7,0,7940.0,61.9,57.6,56.4
woodruff_ar,05147,1066.0,16.9,8.0,0,3509.0,55.5,45.6,0,4048.0,64.1,55.7,27.7
osborne_ks,20141,675.0,19.7,9.6,0,1328.0,38.8,35.7,0,1551.0,45.3,41.7,50.7
unknown_al,UNK,36852.0,0.0,0.0,0,172555.0,0.0,0.0,0,232719.0,0.0,0.0,28.1
twiggs_ga,13289,143.0,1.8,0.7,0,972.0,12.0,8.3,0,5153.0,63.5,53.4,29.4
whatcom_wa,53073,35666.0,15.6,7.8,0,168674.0,73.6,65.7,0,180711.0,78.8,71.0,53.4
grant_in,18053,9710.0,14.8,8.7,0,25519.0,38.8,35.8,0,30403.0,46.2,41.5,41.8
beltrami_mn,27007,11981.0,25.4,14.0,0,26858.0,56.9,47.5,0,34971.0,74.1,66.2,47.5
garfield_mt,30033,138.0,11.0,4.8,0,229.0,18.2,16.2,0,277.0,22.0,19.3,36.2
ulster_ny,36111,21819.0,12.3,6.4,0,117679.0,66.3,60.4,0,143572.0,80.9,71.8,54.4
lake_il,17097,104713.0,15.0,5.5,0,505331.0,72.5,56.6,0,613768.0,88.1,76.7,48.3
brown_mn,27015,4774.0,19.1,8.1,0,14906.0,59.6,55.2,0,17069.0,68.3,65.5,56.3
gordon_ga,13129,399.0,0.7,0.3,0,6776.0,11.7,10.8,0,24574.0,42.4,37.2,33.9
el paso_tx,48141,0.0,0.0,0.0,0,0.0,0.0,0.0,0,852496.0,95.0,79.3,34.2
bedford_pa,42009,4517.0,9.4,5.0,0,17083.0,35.7,31.8,0,20570.0,43.0,38.5,46.3
tom green_tx,48451,0.0,0.0,0.0,0,0.0,0.0,0.0,0,66804.0,56.0,50.1,37.1
webster parish_la,22119,5328.0,13.9,7.7,0,15221.0,39.7,32.6,0,18494.0,48.2,42.5,39.4
kittson_mn,27069,1095.0,25.5,12.9,0,2168.0,50.4,46.3,0,2824.0,65.7,58.7,54.5
jasper_ga,13159,547.0,3.8,1.8,0,2146.0,15.1,12.2,0,5652.0,39.7,34.5,33.9
page_ia,19145,3064.0,20.3,7.0,0,7490.0,49.6,45.4,0,8759.0,58.0,52.9,52.9
andrew_mo,29003,2428.0,13.7,9.5,0,5927.0,33.5,29.7,0,7618.0,43.0,37.7,49.2
orange_tx,48361,0.0,0.0,0.0,0,0.0,0.0,0.0,0,35088.0,42.1,35.9,34.0
king william_va,51101,1125.0,6.6,3.6,0,5891.0,34.4,30.8,0,9713.0,56.6,51.5,35.8
barton_mo,29011,1154.0,9.8,2.6,0,3816.0,32.5,27.7,0,4459.0,37.9,32.8,37.6
briscoe_tx,48045,0.0,0.0,0.0,0,0.0,0.0,0.0,0,742.0,48.0,44.0,67.3
cimarron_ok,40025,253.0,11.8,9.4,0,562.0,26.3,22.7,0,843.0,39.4,32.0,27.1
jefferson davis parish_la,22053,3136.0,10.0,4.5,0,10355.0,33.0,27.0,0,12785.0,40.8,36.3,36.7
kimball_ne,31105,137.0,3.8,1.3,0,0,0.0,30.3,0,0,0.0,34.8,44.1
wallace_ks,20199,295.0,19.4,8.6,0,511.0,33.7,30.9,0,589.0,38.8,37.2,46.5
platte_mo,29165,13734.0,13.2,6.1,0,54067.0,51.8,45.2,0,69670.0,66.7,56.2,46.9
st. tammany parish_la,22103,44553.0,17.1,10.1,0,139519.0,53.6,46.3,0,163320.0,62.7,56.1,40.3
autauga_al,01001,4877.0,8.7,3.4,0,20579.0,36.8,28.5,0,30697.0,54.9,43.4,31.7
carroll_ar,05015,3099.0,10.9,4.2,0,12180.0,42.9,33.7,0,16043.0,56.5,47.0,36.9
humboldt_nv,32013,1948.0,11.6,4.9,0,6384.0,37.9,33.2,0,8044.0,47.8,41.2,34.2
leflore_ms,28083,4795.0,17.0,6.8,0,16180.0,57.4,47.9,0,19801.0,70.3,61.2,36.5
pontotoc_ok,40123,8276.0,21.6,13.0,0,19149.0,50.0,41.2,0,23312.0,60.9,50.4,36.1
monroe_ky,21171,1483.0,13.9,4.8,0,4405.0,41.4,35.8,0,5403.0,50.7,45.6,42.8
walker_ga,13295,3750.0,5.4,3.2,0,16520.0,23.7,18.8,0,33876.0,48.6,40.6,32.0
todd_ky,21219,1217.0,9.9,4.1,0,4656.0,37.9,31.0,0,5887.0,47.9,41.6,35.5
lake_mi,26085,1676.0,14.1,5.7,0,6079.0,51.3,50.4,0,7653.0,64.6,62.0,43.1
kent_mi,26081,99491.0,15.1,9.6,0,0,0.0,50.9,0,400059.0,60.9,60.6,52.8
nye_nv,32023,6092.0,13.1,5.7,0,19910.0,42.8,37.2,0,24864.0,53.4,46.0,42.7
lincoln_or,41041,8088.0,16.2,9.8,0,32873.0,65.8,60.5,0,38832.0,77.7,70.2,58.0
berkeley_sc,45015,19985.0,8.8,5.1,0,98291.0,43.1,35.9,0,140876.0,61.8,51.5,32.0
lubbock_tx,48303,0.0,0.0,0.0,0,0.0,0.0,0.0,0,171995.0,55.4,48.0,35.0
sumter_fl,12119,40569.0,30.6,13.0,0,105754.0,79.9,71.1,0,118589.0,89.6,79.1,54.8
boone_ia,19015,5073.0,19.3,6.4,0,15474.0,59.0,55.0,0,18015.0,68.7,64.1,52.9
dade_ga,13083,604.0,3.7,2.0,0,3485.0,21.6,15.7,0,8969.0,55.7,44.7,31.0
chase_ks,20017,566.0,21.4,6.1,0,1071.0,40.4,37.3,0,1341.0,50.6,45.7,50.8
gosper_ne,31073,60.0,3.0,1.3,0,0,0.0,32.4,0,0,0.0,39.4,59.7
reeves_tx,48389,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19437.0,95.0,54.1,26.6
runnels_tx,48399,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5054.0,49.2,44.1,36.2
amite_ms,28005,1281.0,10.4,4.9,0,4413.0,35.9,28.9,0,5554.0,45.2,39.5,37.4
aleutians west census area_ak,02016,922.0,16.4,7.6,0,3594.0,63.8,52.4,0,4113.0,73.0,62.3,30.0
rowan_nc,37159,19601.0,13.8,7.5,0,57597.0,40.5,33.9,0,81537.0,57.4,43.7,22.8
halifax_nc,37083,8758.0,17.5,6.9,0,24658.0,49.3,40.8,0,33133.0,66.3,53.3,36.0
sauk_wi,55111,12808.0,19.9,9.8,0,37438.0,58.1,53.6,0,43553.0,67.6,62.9,57.5
unknown_nc,UNK,59041.0,0.0,0.0,0,226567.0,0.0,0.0,0,288168.0,0.0,0.0,57.7
green_ky,21087,1211.0,11.1,5.3,0,4211.0,38.5,34.2,0,5170.0,47.3,43.2,41.2
wyoming_wv,54109,4937.0,24.2,18.5,0,8463.0,41.5,34.8,0,11867.0,58.2,52.2,36.9
pitt_nc,37147,29898.0,16.5,11.4,0,88348.0,48.9,41.8,0,130085.0,72.0,53.0,20.4
pendleton_ky,21191,1805.0,12.4,6.6,0,5983.0,41.0,36.8,0,6946.0,47.6,43.5,45.7
swift_mn,27151,2025.0,21.9,10.4,0,4861.0,52.5,47.4,0,5649.0,61.0,57.3,56.3
juneau city and borough_ak,02110,7771.0,24.3,16.3,0,22032.0,68.9,63.2,0,26362.0,82.4,75.9,52.6
hillsborough_fl,12057,162378.0,11.0,6.3,0,869874.0,59.1,47.9,0,1081424.0,73.5,61.9,36.0
dekalb_in,18033,6060.0,13.9,6.9,0,17094.0,39.3,36.5,0,19989.0,46.0,42.0,44.0
wayne_ne,31179,302.0,3.2,1.4,0,0,0.0,34.4,0,0,0.0,41.0,57.2
clinton_il,17027,7278.0,19.4,8.9,0,19671.0,52.4,43.2,0,24376.0,64.9,58.7,44.6
waldo_me,23027,6415.0,16.2,6.0,0,25856.0,65.1,59.9,0,31454.0,79.2,70.4,55.6
talbot_md,24041,8030.0,21.6,13.2,0,25946.0,69.8,64.0,0,30234.0,81.3,72.4,57.2
comal_tx,48091,0.0,0.0,0.0,0,0.0,0.0,0.0,0,110999.0,71.1,61.4,37.9
thomas_ks,20193,1299.0,16.7,7.0,0,2994.0,38.5,34.7,0,3583.0,46.1,41.0,46.0
dinwiddie_va,51053,1315.0,4.6,2.1,0,7417.0,26.0,23.4,0,15448.0,54.1,47.4,26.8
burke_ga,13033,2338.0,10.4,6.2,0,9416.0,42.1,33.7,0,14893.0,66.5,56.2,30.6
beadle_sd,46005,322.0,1.7,0.8,0,0,0.0,34.6,0,11595.0,62.8,48.5,44.9
queen anne's_md,24035,8331.0,16.5,8.8,0,31031.0,61.6,56.4,0,36760.0,73.0,65.5,51.1
kern_ca,06029,89380.0,9.9,4.6,0,419833.0,46.6,38.2,0,534829.0,59.4,52.7,38.7
st. francis_ar,05123,2556.0,10.2,4.8,0,11737.0,47.0,37.8,0,14576.0,58.3,49.4,32.4
kalawao_hi,15005,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
fremont_co,08043,350.0,0.7,0.4,0,19133.0,40.0,35.5,0,23514.0,49.2,43.6,45.5
shawnee_ks,20177,31389.0,17.7,10.3,0,99680.0,56.4,50.1,0,123052.0,69.6,60.8,49.0
marion_ms,28091,2730.0,11.1,5.9,0,10026.0,40.8,32.5,0,12704.0,51.7,45.6,34.9
tucker_wv,54093,1142.0,16.7,9.9,0,2244.0,32.8,28.8,0,4468.0,65.3,60.1,48.0
otero_co,08089,96.0,0.5,0.2,0,7684.0,42.0,39.1,0,9555.0,52.3,48.7,48.9
clinton_pa,42035,5070.0,13.1,5.2,0,16298.0,42.2,36.6,0,18820.0,48.7,44.2,50.4
rockingham_va,51165,3132.0,3.8,1.8,0,11115.0,13.6,12.2,0,38935.0,47.5,42.9,20.7
madison_ny,36053,9869.0,13.9,7.3,0,39740.0,56.0,52.6,0,45942.0,64.8,60.6,54.5
jefferson_co,08059,4861.0,0.8,0.3,0,415353.0,71.3,65.5,0,486773.0,83.5,76.8,54.9
gunnison_co,08051,0.0,0.0,0.0,0,11306.0,64.7,58.9,0,13284.0,76.1,68.7,53.6
poweshiek_ia,19157,3182.0,17.2,4.9,0,10008.0,54.1,50.1,0,11969.0,64.7,58.1,56.3
washington_co,08121,0.0,0.0,0.0,0,1342.0,27.3,24.7,0,1663.0,33.9,30.6,45.4
ochiltree_tx,48357,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4298.0,43.7,38.3,21.1
panola_tx,48365,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10141.0,43.7,37.7,33.7
grayson_va,51077,1599.0,10.3,6.8,0,3549.0,22.8,19.8,0,7286.0,46.9,40.5,29.6
palo pinto_tx,48363,0.0,0.0,0.0,0,0.0,0.0,0.0,0,12695.0,43.5,38.3,36.3
belknap_nh,33001,436.0,0.7,0.3,0,36864.0,60.1,53.4,0,56609.0,92.3,60.0,20.5
harper_ks,20077,958.0,17.6,4.5,0,2290.0,42.1,38.0,0,2851.0,52.4,47.7,41.1
madison parish_la,22065,1328.0,12.1,6.9,0,4255.0,38.9,31.6,0,5997.0,54.8,44.8,32.5
grant parish_la,22043,2201.0,9.8,5.6,0,8579.0,38.3,32.2,0,10455.0,46.7,42.0,32.8
woodward_ok,40153,2749.0,13.6,9.5,0,7353.0,36.4,30.2,0,8728.0,43.2,37.5,39.5
clarke_al,01025,3799.0,16.1,6.4,0,11746.0,49.7,34.6,0,14756.0,62.5,50.6,34.2
russell_al,01113,3987.0,6.9,3.1,0,20762.0,35.8,27.6,0,31557.0,54.4,40.3,29.0
tripp_sd,46123,319.0,5.9,2.8,0,0,0.0,28.7,0,2770.0,50.9,44.2,43.9
tippecanoe_in,18157,23126.0,11.8,6.5,0,104455.0,53.4,50.0,0,124426.0,63.6,56.9,45.3
philadelphia_pa,42101,173020.0,10.9,4.7,0,1012840.0,63.9,48.2,0,1484208.0,93.7,67.6,28.8
izard_ar,05065,1917.0,14.1,8.9,0,5012.0,36.8,29.4,0,5965.0,43.8,37.4,42.5
codington_sd,46029,243.0,0.9,0.2,0,0,0.0,37.2,0,18307.0,65.4,54.1,45.0
alexander_nc,37003,5329.0,14.2,8.8,0,15508.0,41.4,36.1,0,21353.0,56.9,45.2,34.6
calhoun_al,01015,10226.0,9.0,5.6,0,42267.0,37.2,30.2,0,64415.0,56.7,46.3,34.6
coles_il,17029,7494.0,14.8,9.0,0,22303.0,44.1,35.2,0,25145.0,49.7,45.3,48.7
pickens_sc,45077,17844.0,14.1,5.2,0,55298.0,43.6,37.5,0,66807.0,52.7,46.2,41.4
gallatin_il,17059,1030.0,21.3,9.5,0,2504.0,51.9,41.3,0,2946.0,61.0,54.3,43.9
perkins_ne,31135,404.0,14.0,5.6,0,0,0.0,33.2,0,1186.0,41.0,40.5,50.3
sioux_ia,19167,4977.0,14.3,5.2,0,13230.0,38.0,35.3,0,15557.0,44.6,41.3,42.1
washington_in,18175,3663.0,13.1,7.0,0,10529.0,37.6,33.9,0,12405.0,44.2,39.7,40.1
gonzales_tx,48177,0.0,0.0,0.0,0,0.0,0.0,0.0,0,11435.0,54.9,48.7,33.7
waupaca_wi,55135,7537.0,14.8,7.5,0,24322.0,47.7,44.5,0,28971.0,56.8,53.9,56.5
las animas_co,08071,0.0,0.0,0.0,0,8006.0,55.2,50.8,0,9587.0,66.1,61.0,50.5
pima_az,04019,193148.0,18.4,8.8,0,660732.0,63.1,55.3,0,841487.0,80.3,67.5,43.3
fulton_ga,13121,62640.0,5.9,3.4,0,321384.0,30.2,26.4,0,682077.0,64.1,55.6,42.0
collingsworth_tx,48087,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1215.0,41.6,32.8,46.2
rutland_vt,50021,10467.0,18.0,9.3,0,38684.0,66.5,59.2,0,45716.0,78.6,69.0,56.6
norfolk_ma,25021,125915.0,17.8,8.0,0,518766.0,73.4,66.5,0,656545.0,92.9,78.1,55.4
washington_ky,21229,1494.0,12.4,4.9,0,5803.0,48.0,42.4,0,6877.0,56.9,50.2,43.2
waukesha_wi,55133,72307.0,17.9,9.5,0,254710.0,63.0,58.7,0,305516.0,75.6,69.4,55.8
otsego_ny,36077,7881.0,13.2,7.2,0,33056.0,55.6,52.1,0,39479.0,66.4,61.1,59.2
strafford_nh,33017,552.0,0.4,0.2,0,78913.0,60.4,52.9,0,122988.0,94.1,62.4,22.4
monroe_in,18105,19637.0,13.2,8.2,0,82678.0,55.7,52.7,0,95789.0,64.5,58.3,48.6
lake_co,08065,0.0,0.0,0.0,0,4647.0,57.2,50.4,0,5504.0,67.7,59.3,46.4
humphreys_ms,28053,959.0,11.9,5.1,0,4313.0,53.5,42.8,0,5502.0,68.2,57.8,36.5
midland_mi,26111,15000.0,18.0,9.7,0,41584.0,50.0,49.2,0,50435.0,60.7,58.5,56.1
houston_ga,13153,16438.0,10.4,4.8,0,61405.0,38.9,29.7,0,94297.0,59.7,50.0,29.6
doddridge_wv,54017,109.0,1.3,0.8,0,568.0,6.7,3.9,0,5525.0,65.4,59.1,48.3
rockwall_tx,48397,0.0,0.0,0.0,0,0.0,0.0,0.0,0,70406.0,67.1,57.9,35.0
bear lake_id,16007,1177.0,19.2,12.5,0,2419.0,39.5,35.6,0,3104.0,50.7,45.8,36.2
crowley_co,08025,0.0,0.0,0.0,0,1159.0,19.1,17.7,0,1391.0,23.0,21.4,44.8
henry_va,51089,2475.0,4.9,1.8,0,8673.0,17.2,14.5,0,22618.0,44.7,39.0,20.4
sheridan_ne,31161,335.0,6.4,3.6,0,0,0.0,26.6,0,0,0.0,31.6,51.2
utah_ut,49049,45624.0,7.2,2.6,0,317678.0,49.9,39.7,0,412351.0,64.8,56.4,36.2
newton_ga,13217,2876.0,2.6,1.9,0,17695.0,15.8,13.6,0,53825.0,48.2,41.5,35.6
guernsey_oh,39059,4506.0,11.6,5.4,0,12355.0,31.8,30.7,0,18263.0,47.0,44.0,47.8
hart_ga,13147,2538.0,9.7,5.3,0,7117.0,27.2,23.1,0,11796.0,45.0,37.9,38.0
st. joseph_mi,26149,7844.0,12.9,5.1,0,23123.0,37.9,37.1,0,28619.0,46.9,44.9,48.0
franklin_ar,05047,2871.0,16.2,10.8,0,8203.0,46.3,38.7,0,9519.0,53.7,48.1,35.7
baltimore_md,24005,131732.0,15.9,10.3,0,542590.0,65.6,60.0,0,643346.0,77.8,70.4,51.1
brown_il,17009,1134.0,17.2,9.4,0,2323.0,35.3,28.4,0,3869.0,58.8,52.0,47.7
knox_tn,47093,63145.0,13.4,7.3,0,259919.0,55.3,48.8,0,311282.0,66.2,59.5,47.2
kingman_ks,20095,1456.0,20.4,7.2,0,3127.0,43.7,38.3,0,3711.0,51.9,46.5,43.2
ballard_ky,21007,672.0,8.5,3.9,0,2508.0,31.8,27.4,0,3300.0,41.8,37.9,53.1
victoria_tx,48469,0.0,0.0,0.0,0,0.0,0.0,0.0,0,50124.0,54.4,48.1,37.2
goshen_wy,56015,2084.0,15.8,9.0,0,4532.0,34.3,31.4,0,5854.0,44.3,39.9,46.0
frederick_va,51069,5548.0,6.2,4.1,0,18820.0,21.1,17.6,0,51233.0,57.4,47.7,21.3
sumter_sc,45085,14248.0,13.4,4.8,0,51566.0,48.3,36.4,0,67607.0,63.3,51.1,30.2
mohave_az,04015,21477.0,10.1,4.0,0,86132.0,40.6,33.0,0,106253.0,50.1,40.8,38.5
dolores_co,08033,0.0,0.0,0.0,0,804.0,39.1,35.4,0,975.0,47.4,41.5,46.8
mille lacs_mn,27095,4497.0,17.1,8.5,0,13963.0,53.1,47.5,0,16334.0,62.2,57.1,44.4
stutsman_nd,38093,4748.0,22.9,9.7,0,10463.0,50.5,43.2,0,12743.0,61.5,52.7,47.0
burlington_nj,34005,74165.0,16.7,8.9,0,304664.0,68.4,61.7,0,382317.0,85.8,73.4,49.2
frontier_ne,31063,47.0,1.8,1.2,0,0,0.0,20.8,0,0,0.0,27.1,70.4
etowah_al,01055,10300.0,10.1,5.8,0,36065.0,35.3,27.9,0,50171.0,49.1,40.6,35.8
van buren_ar,05141,2236.0,13.5,7.3,0,6850.0,41.4,35.2,0,7790.0,47.1,41.3,49.0
st. lucie_fl,12111,50578.0,15.4,7.3,0,183249.0,55.8,46.3,0,220740.0,67.2,57.7,39.8
unknown_wy,UNK,1213.0,0.0,0.0,0,8826.0,0.0,0.0,0,10313.0,0.0,0.0,42.9
oswego_ny,36075,15342.0,13.1,7.3,0,62489.0,53.4,50.0,0,73227.0,62.5,58.8,55.6
liberty_fl,12077,980.0,11.7,8.5,0,2888.0,34.6,27.4,0,3230.0,38.7,34.0,32.3
livingston_ny,36051,8589.0,13.7,7.9,0,34150.0,54.3,50.9,0,39642.0,63.0,59.2,57.0
nelson_nd,38063,1077.0,37.4,20.3,0,1847.0,64.2,59.7,0,2190.0,76.1,70.5,58.2
thomas_ga,13275,2717.0,6.1,4.4,0,10444.0,23.5,18.6,0,24622.0,55.4,48.3,37.7
st. louis_mo,29189,138108.0,13.9,8.0,0,597465.0,60.1,52.4,0,742482.0,74.7,63.0,47.1
george_ms,28039,3165.0,12.9,10.4,0,8522.0,34.8,27.7,0,11341.0,46.3,40.0,27.4
palm beach_fl,12099,277161.0,18.5,10.0,0,956866.0,63.9,54.5,0,1139441.0,76.1,65.4,40.9
somerset_md,24039,3230.0,12.6,8.2,0,12086.0,47.2,40.8,0,14675.0,57.3,50.4,49.6
sebastian_ar,05131,13129.0,10.3,6.8,0,60085.0,47.0,38.3,0,75755.0,59.3,48.8,34.7
dunn_nd,38025,440.0,9.9,5.3,0,973.0,22.0,18.1,0,1330.0,30.1,24.2,38.0
converse_wy,56009,1983.0,14.3,9.3,0,4118.0,29.8,25.9,0,5182.0,37.5,33.7,43.0
dekalb_il,17037,13015.0,12.4,4.8,0,59189.0,56.4,42.1,0,63930.0,60.9,55.8,49.3
montezuma_co,08083,1873.0,7.2,3.0,0,15494.0,59.2,50.9,0,20770.0,79.3,67.8,47.7
mccone_mt,30055,113.0,6.8,3.7,0,265.0,15.9,15.3,0,305.0,18.3,17.8,74.0
floyd_va,51063,298.0,1.9,0.8,0,926.0,5.9,4.7,0,6726.0,42.7,37.7,16.4
ouachita parish_la,22073,20093.0,13.1,7.6,0,63664.0,41.5,34.7,0,78192.0,51.0,44.5,35.7
camden_ga,13039,7231.0,13.2,9.0,0,23378.0,42.8,36.6,0,35555.0,65.0,55.8,22.9
travis_tx,48453,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1025597.0,80.5,68.9,43.7
otsego_mi,26137,4391.0,17.8,10.4,0,12106.0,49.1,48.1,0,14122.0,57.2,55.1,54.0
boyd_ky,21019,9003.0,19.3,6.3,0,21066.0,45.1,35.5,0,26132.0,55.9,48.5,39.1
preston_wv,54077,4343.0,13.0,8.3,0,12145.0,36.3,30.8,0,20582.0,61.6,55.2,43.5
columbia_pa,42037,12479.0,19.2,9.3,0,38390.0,59.1,52.6,0,45628.0,70.2,61.1,50.2
carroll_oh,39019,2734.0,10.2,4.2,0,8304.0,30.9,30.7,0,12329.0,45.8,43.6,54.0
lucas_oh,39095,52198.0,12.2,6.1,0,170010.0,39.7,39.2,0,264832.0,61.8,57.3,49.5
minidoka_id,16067,1959.0,9.3,4.2,0,6910.0,32.8,28.6,0,9806.0,46.6,40.3,33.6
bollinger_mo,29017,1720.0,14.2,6.6,0,3799.0,31.3,26.7,0,4485.0,37.0,32.7,33.9
washington_ri,44009,18807.0,15.0,5.6,0,91149.0,72.6,67.2,0,110225.0,87.8,77.4,59.6
pembina_nd,38067,1663.0,24.5,12.3,0,3443.0,50.6,44.3,0,4370.0,64.3,55.3,41.2
duplin_nc,37061,7186.0,12.2,5.7,0,22862.0,38.9,31.4,0,34389.0,58.5,44.2,21.9
hot springs_wy,56017,970.0,22.0,12.5,0,1873.0,42.4,38.8,0,2295.0,52.0,49.5,52.4
kewaunee_wi,55061,3027.0,14.8,8.9,0,9518.0,46.6,43.4,0,11142.0,54.5,51.7,59.8
clackamas_or,41005,59399.0,14.2,8.4,0,257954.0,61.7,57.9,0,310358.0,74.2,68.1,54.8
brazos_tx,48041,0.0,0.0,0.0,0,0.0,0.0,0.0,0,135409.0,59.1,51.0,35.5
prince george_va,51149,2126.0,5.5,3.6,0,9549.0,24.9,22.4,0,23186.0,60.5,50.2,0.7
cavalier_nd,38019,1087.0,28.9,16.6,0,2090.0,55.6,50.6,0,2470.0,65.7,59.7,56.0
hickory_mo,29085,1734.0,18.2,8.7,0,3586.0,37.6,32.7,0,4146.0,43.4,37.8,50.8
spotsylvania_va,51177,4347.0,3.2,1.6,0,17585.0,12.9,11.2,0,71537.0,52.5,44.1,11.5
chesterfield_va,51041,25385.0,7.2,3.8,0,113602.0,32.2,28.3,0,228058.0,64.6,56.2,30.0
fulton_pa,42057,1139.0,7.8,3.0,0,4401.0,30.3,27.5,0,5827.0,40.1,35.6,42.5
todd_sd,46121,2392.0,23.5,16.1,0,5330.0,52.4,40.8,0,8469.0,83.2,66.3,27.6
wheeler_tx,48483,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2495.0,49.3,42.1,36.6
mahnomen_mn,27087,2089.0,37.8,24.6,0,3038.0,55.0,49.8,0,3682.0,66.6,58.4,44.3
harrisonburg city_va,51660,241.0,0.5,0.3,0,2560.0,4.8,4.2,0,22587.0,42.6,37.9,1.9
vernon_mo,29217,2067.0,10.1,4.4,0,6803.0,33.1,28.1,0,8155.0,39.7,34.6,40.9
price_wi,55099,2357.0,17.7,6.9,0,7285.0,54.6,52.0,0,8729.0,65.4,61.6,56.2
gallia_oh,39053,2074.0,6.9,5.1,0,6720.0,22.5,21.9,0,15230.0,50.9,46.2,43.4
crittenden_ky,21055,1108.0,12.6,5.9,0,3178.0,36.1,30.3,0,3988.0,45.3,40.6,39.1
