,checkpoint_diff,vaccine_diff,election_diff,census_diff
0,unknown_ga,lasalle parish_la,albion_me,unknown_ga
1,unknown_nc,petersburg borough_ak,greene_me,unknown_nc
2,unknown_sd,aroostook_me,dover-foxcroft_me,unknown_sd
3,unknown_nj,middlesex_ct,waite_me,unknown_nj
4,somerset_me,aleutians east borough_ak,athens_me,somerset_me
5,sitka city and borough_ak,copper river census area_ak,bridgewater_ct,sitka city and borough_ak
6,matanuska-susitna borough_ak,dillingham census area_ak,east montpelier_vt,matanuska-susitna borough_ak
7,bethel census area_ak,dukes_ma,guilford_ct,bethel census area_ak
8,yukon-koyukuk census area_ak,kennebec_me,colchester_vt,yukon-koyukuk census area_ak
9,unknown_la,sagadahoc_me,pembroke_me,unknown_la
10,unknown_nh,juneau city and borough_ak,exeter_ri,unknown_nh
11,unknown_mi,cheshire_nh,thomaston_ct,unknown_mi
12,piscataquis_me,bristol bay borough_ak,fayette_me,piscataquis_me
13,rockingham_nh,somerset_me,worthington_ma,rockingham_nh
14,lamoille_vt,bristol_ma,weare_nh,lamoille_vt
15,unknown_ne,androscoggin_me,crystal_me,unknown_ne
16,north slope borough_ak,denali borough_ak,marlboro_vt,north slope borough_ak
17,yakutat city and borough_ak,aleutians west census area_ak,waitsfield_vt,yakutat city and borough_ak
18,unknown_dc,orleans_vt,barre_vt,unknown_dc
19,nome census area_ak,washington_ri,new boston_nh,nome census area_ak
20,unknown_ak,sitka city and borough_ak,lee_ma,unknown_ak
21,unknown_wy,matanuska-susitna borough_ak,princeton_ma,unknown_wy
22,hampshire_ma,haines borough_ak,monson_ma,hampshire_ma
23,unknown_mn,bethel census area_ak,nahant_ma,unknown_mn
24,unknown_vt,yukon-koyukuk census area_ak,byron_me,unknown_vt
25,lake and peninsula borough_ak,piscataquis_me,redding_ct,lake and peninsula borough_ak
26,kusilvak census area_ak,caledonia_vt,lasalle parish_la,kusilvak census area_ak
27,northwest arctic borough_ak,rockingham_nh,palmyra_me,northwest arctic borough_ak
28,unknown_ca,kenai peninsula borough_ak,derry_nh,unknown_ca
29,dona ana_nm,anchorage municipality_ak,ed 34_ak,dona ana_nm
30,unknown_ut,coos_nh,holliston_ma,unknown_ut
31,unknown_mt,lamoille_vt,morgan_vt,unknown_mt
32,unknown_id,chugach census area_ak,holyoke_ma,unknown_id
33,unknown_al,north slope borough_ak,south berwick_me,unknown_al
34,juneau city and borough_ak,prince of wales-hyder census area_ak,ed 14_ak,juneau city and borough_ak
35,bristol bay borough_ak,yakutat city and borough_ak,danbury_ct,bristol bay borough_ak
36,bristol_ma,nome census area_ak,lawrence_ma,bristol_ma
37,androscoggin_me,hampshire_ma,chester_me,androscoggin_me
38,unknown_ny,berkshire_ma,norfolk_ct,unknown_ny
39,aleutians west census area_ak,suffolk_ma,burlington_me,aleutians west census area_ak
40,unknown_il,kodiak island borough_ak,easton_ma,unknown_il
41,unknown_az,lake and peninsula borough_ak,bridgton_me,unknown_az
42,unknown_mo,kusilvak census area_ak,roxbury_me,unknown_mo
43,washington_ri,kent_ri,lisbon_me,washington_ri
44,unknown_tn,fairbanks north star borough_ak,royalston_ma,unknown_tn
45,coos_nh,middlesex_ma,south hampton_nh,coos_nh
46,kalawao_hi,southeast fairbanks census area_ak,conway_ma,kalawao_hi
47,unknown_ar,northwest arctic borough_ak,manchester_ct,unknown_ar
48,unknown_nm,do�a ana_nm,johnson_vt,unknown_nm
49,hoonah-angoon census area_ak,skagway municipality_ak,pittsfield_ma,hoonah-angoon census area_ak
50,aroostook_me,hoonah-angoon census area_ak,londonderry_vt,aroostook_me
51,aleutians east borough_ak,belknap_nh,longmeadow_ma,aleutians east borough_ak
52,dillingham census area_ak,ketchikan gateway borough_ak,sunapee_nh,dillingham census area_ak
53,dukes_ma,wrangell city and borough_ak,eastham_ma,dukes_ma
54,la salle parish_la,ZZZZ,barre_ma,la salle parish_la
55,unknown_wv,ZZZZ,ed 31_ak,unknown_wv
56,sagadahoc_me,ZZZZ,whitingham_vt,sagadahoc_me
57,unknown_co,ZZZZ,new ashford_ma,unknown_co
58,denali borough_ak,ZZZZ,concord_ma,denali borough_ak
59,petersburg census area_ak,ZZZZ,newfields_nh,petersburg census area_ak
60,orleans_vt,ZZZZ,trenton_me,orleans_vt
61,unknown_va,ZZZZ,hancock_ma,unknown_va
62,haines borough_ak,ZZZZ,guilford_vt,haines borough_ak
63,unknown_or,ZZZZ,southbury_ct,unknown_or
64,unknown_fl,ZZZZ,leyden_ma,unknown_fl
65,kenai peninsula borough_ak,ZZZZ,sprague_ct,kenai peninsula borough_ak
66,anchorage municipality_ak,ZZZZ,dalton_ma,anchorage municipality_ak
67,unknown_wa,ZZZZ,hudson_nh,unknown_wa
68,kodiak island borough_ak,ZZZZ,canterbury_ct,kodiak island borough_ak
69,unknown_nd,ZZZZ,heath_ma,unknown_nd
70,kent_ri,ZZZZ,stoneham_me,kent_ri
71,fairbanks north star borough_ak,ZZZZ,vanceboro_me,fairbanks north star borough_ak
72,middlesex_ma,ZZZZ,walpole_ma,middlesex_ma
73,unknown_in,ZZZZ,ware_ma,unknown_in
74,belknap_nh,ZZZZ,craftsbury_vt,belknap_nh
75,ketchikan gateway borough_ak,ZZZZ,south windsor_ct,ketchikan gateway borough_ak
76,wrangell city and borough_ak,ZZZZ,cambridge_me,wrangell city and borough_ak
77,unknown_me,ZZZZ,gardner_ma,unknown_me
78,unknown_md,ZZZZ,albany_nh,unknown_md
79,unknown_ky,ZZZZ,leeds_me,unknown_ky
80,unknown_ks,ZZZZ,sandgate_vt,unknown_ks
81,unknown_ia,ZZZZ,edgartown_ma,unknown_ia
82,middlesex_ct,ZZZZ,naugatuck_ct,middlesex_ct
83,unknown_ok,ZZZZ,orrington_me,unknown_ok
84,unknown_pa,ZZZZ,newington_nh,unknown_pa
85,unknown_ct,ZZZZ,hanover_ma,unknown_ct
86,kennebec_me,ZZZZ,durham_me,kennebec_me
87,unknown_ms,ZZZZ,derby_ct,unknown_ms
88,cheshire_nh,ZZZZ,rockland_ma,cheshire_nh
89,unknown_oh,ZZZZ,danbury_nh,unknown_oh
90,unknown_wi,ZZZZ,sutton_nh,unknown_wi
91,unknown_sc,ZZZZ,northbridge_ma,unknown_sc
