county_state,state,candidate_won,party,winner_votes,total_votes,pct_trump,pct_biden
kent_de,DE,Joe Biden,DEM,44552,87025,0.488,0.512
new castle_de,DE,Joe Biden,DEM,195034,287633,0.322,0.678
district of columbia_dc,DC,Joe Biden,DEM,39041,41681,0.063,0.937
alachua_fl,FL,Joe Biden,DEM,89704,142604,0.371,0.629
broward_fl,FL,Joe Biden,DEM,618752,957672,0.354,0.646
duval_fl,FL,Joe Biden,DEM,252556,492820,0.488,0.512
gadsden_fl,FL,Joe Biden,DEM,16153,23762,0.32,0.68
hillsborough_fl,FL,Joe Biden,DEM,376367,712063,0.471,0.529
leon_fl,FL,Joe Biden,DEM,103517,162929,0.365,0.635
miami-dade_fl,FL,Joe Biden,DEM,617864,1156816,0.466,0.534
orange_fl,FL,Joe Biden,DEM,395014,647403,0.39,0.61
osceola_fl,FL,Joe Biden,DEM,97297,172436,0.436,0.564
palm beach_fl,FL,Joe Biden,DEM,433572,773158,0.439,0.561
pinellas_fl,FL,Joe Biden,DEM,277450,559715,0.504,0.496
seminole_fl,FL,Joe Biden,DEM,132528,260815,0.492,0.508
baldwin_ga,GA,Joe Biden,DEM,9140,18251,0.499,0.501
bibb_ga,GA,Joe Biden,DEM,43408,70714,0.386,0.614
calhoun_ga,GA,Joe Biden,DEM,1263,2198,0.425,0.575
chatham_ga,GA,Joe Biden,DEM,78247,133408,0.413,0.587
clarke_ga,GA,Joe Biden,DEM,36055,51346,0.298,0.702
clay_ga,GA,Joe Biden,DEM,791,1435,0.449,0.551
clayton_ga,GA,Joe Biden,DEM,95466,112330,0.15,0.85
cobb_ga,GA,Joe Biden,DEM,221847,393728,0.437,0.563
dekalb_ga,GA,Joe Biden,DEM,308162,370746,0.169,0.831
dougherty_ga,GA,Joe Biden,DEM,24568,35287,0.304,0.696
douglas_ga,GA,Joe Biden,DEM,42814,69106,0.38,0.62
fulton_ga,GA,Joe Biden,DEM,380212,523779,0.274,0.726
gwinnett_ga,GA,Joe Biden,DEM,241994,414023,0.416,0.584
hancock_ga,GA,Joe Biden,DEM,2976,4153,0.283,0.717
henry_ga,GA,Joe Biden,DEM,73443,122998,0.403,0.597
jefferson_ga,GA,Joe Biden,DEM,4058,7639,0.469,0.531
liberty_ga,GA,Joe Biden,DEM,13104,21394,0.387,0.613
macon_ga,GA,Joe Biden,DEM,2858,4663,0.387,0.613
muscogee_ga,GA,Joe Biden,DEM,49446,80514,0.386,0.614
newton_ga,GA,Joe Biden,DEM,29789,54234,0.451,0.549
randolph_ga,GA,Joe Biden,DEM,1671,3073,0.456,0.544
richmond_ga,GA,Joe Biden,DEM,59119,87009,0.321,0.679
rockdale_ga,GA,Joe Biden,DEM,31237,44681,0.301,0.699
stewart_ga,GA,Joe Biden,DEM,1182,1990,0.406,0.594
sumter_ga,GA,Joe Biden,DEM,6314,12148,0.48,0.52
talbot_ga,GA,Joe Biden,DEM,2114,3522,0.4,0.6
taliaferro_ga,GA,Joe Biden,DEM,561,928,0.395,0.605
terrell_ga,GA,Joe Biden,DEM,2376,4416,0.462,0.538
warren_ga,GA,Joe Biden,DEM,1468,2650,0.446,0.554
washington_ga,GA,Joe Biden,DEM,4743,9477,0.5,0.5
hawaii_hi,HI,Joe Biden,DEM,58731,87814,0.331,0.669
honolulu_hi,HI,Joe Biden,DEM,238869,382114,0.375,0.625
kauai_hi,HI,Joe Biden,DEM,21225,33497,0.366,0.634
maui_hi,HI,Joe Biden,DEM,47305,71044,0.334,0.666
blaine_id,ID,Joe Biden,DEM,8919,13289,0.329,0.671
latah_id,ID,Joe Biden,DEM,10236,20570,0.502,0.498
teton_id,ID,Joe Biden,DEM,3318,6347,0.477,0.523
champaign_il,IL,Joe Biden,DEM,57067,95568,0.403,0.597
cook_il,IL,Joe Biden,DEM,1725973,2321399,0.256,0.744
dekalb_il,IL,Joe Biden,DEM,24643,47989,0.486,0.514
dupage_il,IL,Joe Biden,DEM,281222,485064,0.42,0.58
