county_state,county,state,fips,svi_ctgy,metro_status,census2019,census_pct_65plus,census_pct_18to64,dose1_pct_030121,series_complete_pct_030121,booster_doses_pct_030121,dose1_pct_090121,series_complete_pct_090121,booster_doses_pct_090121,dose1_pct_030122,series_complete_pct_030122,booster_doses_pct_030122,null_pct,uninsured_pct,socio_wgt,hh_wgt,minority_wgt,housing_wgt,overall_wgt,pct_hesitant_02-24-22,pct_somewhat_hesitant_02-24-22,pct_highly_hesitant_02-24-22,candidate_won,winner_votes,total_votes,pct_trump,pct_biden
mason_mi,Mason County,MI,26105,2.0,0.0,29144.0,24.255421356025252,55.48654954707658,19.9,12.1,0.0,0.0,51.7,0.0,61.0,60.1,58.2,0.0,0.0673729400360061,0.5190380522088354,0.7212604313806952,0.163781578036283,0.5142596662512118,0.4892601855698656,0.187,0.046,0.141,1.0,10207.0,17254.0,0.592,0.408
colusa_ca,Colusa County,CA,06011,3.0,0.0,21547.0,14.91622963753655,57.97558824894416,12.4,3.8,0.0,54.8,45.8,0.0,67.1,59.7,33.6,0.0,0.1026369735370853,0.654029947819605,0.6875669260156542,0.8758457743197913,0.7385814153932165,0.8095113212821469,0.293,0.081,0.212,1.0,4554.0,7951.0,0.573,0.427
henry_al,Henry County,AL,01067,3.0,1.0,17205.0,23.429235687300203,56.181342632955534,13.8,6.1,0.0,39.5,30.7,0.0,54.3,44.9,33.8,0.0,0.1119481429572529,0.6876338005138987,0.7547148213034337,0.2885675251109554,0.4230155687923382,0.5832466246204158,0.339,0.075,0.264,1.0,6607.0,9298.0,0.711,0.289
pulaski_ky,Pulaski County,KY,21199,3.0,0.0,64979.0,18.975361270564335,58.73436033179951,12.7,6.1,0.0,44.4,38.2,0.0,52.0,45.6,40.9,0.0,0.0581027359887754,0.785211739028763,0.80600160729597,0.1181349785641905,0.5470834858523658,0.6380477667783927,0.297,0.064,0.233,1.0,25442.0,31557.0,0.806,0.194
franklin city_va,Franklin city,VA,51620,3.0,0.0,7967.0,19.06614785992218,54.95167566210619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0901230057240287,0.7200196078431372,0.8589725490196078,0.4250039215686274,0.3666137254901961,0.6264078431372548,0.18,0.059,0.121,0.0,2525.0,4058.0,0.378,0.622
aiken_sc,Aiken County,SC,45003,3.0,1.0,170872.0,19.893253429467673,58.72290369399317,12.9,6.1,0.0,43.3,35.9,0.0,55.3,45.2,36.2,0.0303030303030303,0.1115823778201119,0.5909123785389934,0.6022707355355068,0.4490634676443454,0.5082652666451002,0.5622889885338413,0.219,0.054,0.166,1.0,51589.0,85185.0,0.606,0.394
outagamie_wi,Outagamie County,WI,55087,1.0,1.0,187885.0,15.255076243446789,61.420549804401624,14.5,7.6,0.0,56.7,52.9,0.0,68.6,63.5,55.2,0.0,0.0456823668229104,0.2727787133160851,0.3768155006116241,0.2709971486408954,0.3952543744655055,0.2791996146226874,0.262,0.045,0.217,1.0,58385.0,108022.0,0.54,0.46
allen_oh,Allen County,OH,39003,3.0,1.0,102351.0,18.083848716671064,58.96376195640492,11.3,5.2,0.0,31.7,30.4,0.0,46.2,43.1,47.7,0.0,0.065678006985585,0.5046047490399644,0.685014980413346,0.2097276249011018,0.4684469066594623,0.4669155313482951,0.361,0.083,0.278,1.0,33116.0,48006.0,0.69,0.31
dekalb_al,DeKalb County,AL,01049,4.0,0.0,71513.0,17.620572483324707,58.43832589878764,7.5,3.7,0.0,29.9,22.2,0.0,41.3,33.4,34.2,0.0,0.1436938202247191,0.725953452247191,0.7143698567415729,0.4278775393258427,0.5963628707865168,0.6818570168539326,0.351,0.173,0.178,1.0,24767.0,29356.0,0.844,0.156
taylor_wi,Taylor County,WI,55119,1.0,0.0,20343.0,19.564469350636582,57.08597551983483,9.8,3.7,0.0,31.1,28.9,0.0,37.1,35.1,54.0,0.0,0.077962271566123,0.4491624435056003,0.639791653566516,0.1636581843191196,0.5887165160149341,0.4537298781685989,0.411,0.063,0.348,1.0,7657.0,10686.0,0.717,0.283
