County_State,n_zipcodes,pct_hesitant_02-24-22,pct_somewhat_hesitant_02-24-22,pct_highly_hesitant_02-24-22,county_vaccine,state,candidate_won,party,winner_votes,nonwinner_votes,total_votes,pct_trump,pct_biden,county_election,County,State,SVI_CTGY,Metro_status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,county_census,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122,county_checkpoint,socio_std,hh_std,minority_std,housing_std,overall_std,null_pct,uninsured_pct,socio_wgt,hh_wgt,minority_wgt,housing_wgt,overall_wgt,count,county_svi
abbeville_sc,13.0,0.293,0.108,0.185,abbeville_sc,SC,Donald Trump,REP,8215,4218,12433,0.661,0.339,abbeville_sc,Abbeville County,SC,4.0,0.0,24527.0,5483.0,14184.0,abbeville_sc,3962.0,16.2,13.0,0.0,9031.0,36.8,14.0,0.0,10915.0,44.5,14.0,43.9,abbeville_sc,0.0893865910898646,0.1956865623047905,0.1603834706778309,0.1347823344013104,0.1303400079279829,0.0,0.1151397169160887,0.7996462748915115,0.7933535304376039,0.3522141217504157,0.6742094780386909,0.7523021941030945,6,abbeville_sc
acadia parish_la,15.0,0.29,0.083,0.207,acadia parish_la,LA,Donald Trump,REP,22596,5829,28425,0.795,0.205,acadia parish_la,Acadia Parish,LA,4.0,1.0,62045.0,9796.0,36244.0,acadia parish_la,8102.0,13.1,13.0,0.0,30136.0,48.6,14.0,0.0,36341.0,58.6,16.0,34.1,acadia parish_la,0.1596382264162732,0.2625904998396944,0.2321932554549935,0.2169098472134951,0.2230262452282377,0.0,0.1133326940288965,0.784555579529472,0.737875346822657,0.3234094712952308,0.7091665068405575,0.7311749200869454,12,acadia parish_la
accomack_va,33.0,0.214,0.087,0.126,accomack_va,VA,Donald Trump,REP,9172,7790,16962,0.541,0.459,accomack_va,Accomack County,VA,4.0,0.0,32316.0,7934.0,17692.0,accomack_va,6688.0,20.7,13.0,0.0,19834.0,61.4,16.0,0.0,26314.0,81.4,16.0,42.1,accomack_va,0.1187960888004555,0.1084412274987173,0.1679661169062719,0.1727409848795092,0.1317462577402919,0.2727272727272727,0.166147455867082,0.6459355506688657,0.6526003451224727,0.6163166788833914,0.6778905137132735,0.7098665933663184,8,accomack_va
ada_id,17.0,0.165,0.037,0.128,ada_id,ID,Donald Trump,REP,130699,128690,259389,0.504,0.496,ada_id,Ada County,ID,1.0,1.0,481587.0,71958.0,297899.0,ada_id,85409.0,17.7,1.0,0.0,255244.0,53.0,3.0,0.0,340684.0,70.7,4.0,45.6,ada_id,0.2014162980201053,0.2227910978052102,0.1647925631219917,0.3032442479325034,0.2271231401700437,0.0,0.0814815313012832,0.3113567386762081,0.3764148673248859,0.3361263332526252,0.4048140071112785,0.305790407396447,59,ada_id
adair_ia,13.0,0.29,0.059,0.231,adair_ia,IA,Donald Trump,REP,2917,1260,4177,0.698,0.302,adair_ia,Adair County,IA,1.0,0.0,7152.0,1648.0,3945.0,adair_ia,1222.0,17.1,1.0,0.0,3284.0,45.9,3.0,0.0,3785.0,52.9,3.0,57.7,adair_ia,0.032519378837856,0.205442506150342,0.0559589432828509,0.2288464113767135,0.1393657538039145,0.0,0.0621841661987647,0.3042199747332959,0.723457299270073,0.0575889949466591,0.4579240595171251,0.3267021897810219,3,adair_ia
adair_ky,10.0,0.338,0.113,0.224,adair_ky,KY,Donald Trump,REP,7276,1492,8768,0.83,0.17,adair_ky,Adair County,KY,3.0,0.0,19202.0,3695.0,11690.0,adair_ky,1951.0,10.2,9.0,0.0,6849.0,35.7,10.0,0.0,8427.0,43.9,10.0,41.3,adair_ky,0.0929106175694837,0.2615171996528826,0.0712497117788656,0.3696871148108125,0.1421691999997588,0.0,0.0678239176757964,0.7836824125565199,0.5535394418169534,0.1194373785146302,0.6114544254456629,0.6097647471545138,7,adair_ky
adair_mo,9.0,0.266,0.062,0.204,adair_mo,MO,Donald Trump,REP,6413,3923,10336,0.62,0.38,adair_mo,Adair County,MO,2.0,0.0,25343.0,3829.0,16980.0,adair_mo,4453.0,17.6,5.0,0.0,10800.0,42.6,6.0,0.0,13063.0,51.5,7.0,44.1,adair_mo,0.1367689710006309,0.3325945565513949,0.1671971063773305,0.2300768774210253,0.1253627897249381,0.0,0.0836327739387956,0.6515810582428431,0.3670075695952616,0.3222135478775913,0.5436394985192498,0.4985752142152024,7,adair_mo
adair_ok,8.0,0.381,0.115,0.267,adair_ok,OK,Donald Trump,REP,5585,1523,7108,0.786,0.214,adair_ok,Adair County,OK,4.0,0.0,22194.0,3515.0,12684.0,adair_ok,2814.0,12.7,13.0,0.0,7673.0,34.6,13.0,0.0,11798.0,53.2,14.0,30.8,adair_ok,0.0742218970385424,0.1172392127233887,0.1187503052627655,0.200531137233099,0.1026636401069044,0.0,0.2658617103061547,0.8094466603355492,0.8823092072536517,0.5746377334599557,0.6180203002758559,0.8122278388278388,5,adair_ok
adams_co,34.0,0.132,0.031,0.101,adams_co,CO,Joe Biden,DEM,134202,102533,236735,0.433,0.567,adams_co,Adams County,CO,3.0,1.0,517421.0,55528.0,326702.0,adams_co,3829.0,0.7,9.0,0.0,308487.0,59.6,12.0,0.0,376913.0,72.8,12.0,44.7,adams_co,0.2632798241028075,0.2303748803009656,0.1854085551192379,0.3348719435120462,0.3130554317753248,0.0103092783505154,0.1097190790863281,0.4891852746346419,0.4570926886132987,0.7035488474497853,0.4483759075867757,0.5104295088661578,96,adams_co
adams_ia,10.0,0.219,0.051,0.168,adams_ia,IA,Donald Trump,REP,1530,630,2160,0.708,0.292,adams_ia,Adams County,IA,1.0,0.0,3602.0,852.0,1996.0,adams_ia,833.0,23.1,1.0,0.0,1789.0,49.7,3.0,0.0,2143.0,59.5,4.0,55.4,adams_ia,0.1298955157039687,0.0277892965006313,0.082731493398826,0.3492400392280358,0.2134755372402187,0.0,0.0542136339237788,0.3356062533548041,0.5159227858293076,0.0692685990338164,0.520156333870102,0.3183411969940955,2,adams_ia
