County_State,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122,county_checkpoint,County,State,SVI_CTGY,Metro_status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,county_census,n_zipcodes,pct_hesitant_02-24-22,pct_somewhat_hesitant_02-24-22,pct_highly_hesitant_02-24-22,county_vaccine,state,candidate_won,party,winner_votes,nonwinner_votes,total_votes,pct_trump,pct_biden,county_election
mason_mi,5795.0,19.9,5.0,0.0,0.0,0.0,8.0,0.0,17777.0,61.0,8.0,58.2,mason_mi,Mason County,MI,2.0,0.0,29144.0,7069.0,16171.0,mason_mi,10.0,0.187,0.046,0.141,mason_mi,MI,Donald Trump,REP,10207,7047,17254,0.592,0.408,mason_mi
colusa_ca,2666.0,12.4,9.0,0.0,11806.0,54.8,11.0,0.0,14465.0,67.1,12.0,33.6,colusa_ca,Colusa County,CA,3.0,0.0,21547.0,3214.0,12492.0,colusa_ca,8.0,0.293,0.081,0.212,colusa_ca,CA,Donald Trump,REP,4554,3397,7951,0.573,0.427,colusa_ca
henry_al,2369.0,13.8,9.0,0.0,6804.0,39.5,10.0,0.0,9335.0,54.3,11.0,33.8,henry_al,Henry County,AL,3.0,1.0,17205.0,4031.0,9666.0,henry_al,8.0,0.339,0.075,0.264,henry_al,AL,Donald Trump,REP,6607,2691,9298,0.711,0.289,henry_al
pulaski_ky,8231.0,12.7,9.0,0.0,28835.0,44.4,10.0,0.0,33758.0,52.0,11.0,40.9,pulaski_ky,Pulaski County,KY,3.0,0.0,64979.0,12330.0,38165.0,pulaski_ky,11.0,0.297,0.064,0.233,pulaski_ky,KY,Donald Trump,REP,25442,6115,31557,0.806,0.194,pulaski_ky
franklin city_va,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,franklin city_va,Franklin city,VA,3.0,0.0,7967.0,1519.0,4378.0,franklin city_va,1.0,0.18,0.059,0.121,franklin city_va,VA,Joe Biden,DEM,2525,1533,4058,0.378,0.622,franklin city_va
aiken_sc,22115.0,12.9,9.0,0.0,73932.0,43.3,10.0,0.0,94506.0,55.3,11.0,36.2,aiken_sc,Aiken County,SC,3.0,1.0,170872.0,33992.0,100341.0,aiken_sc,23.0,0.219,0.054,0.166,aiken_sc,SC,Donald Trump,REP,51589,33596,85185,0.606,0.394,aiken_sc
outagamie_wi,27297.0,14.5,1.0,0.0,106489.0,56.7,4.0,0.0,128898.0,68.6,4.0,55.2,outagamie_wi,Outagamie County,WI,1.0,1.0,187885.0,28662.0,115400.0,outagamie_wi,24.0,0.262,0.045,0.217,outagamie_wi,WI,Donald Trump,REP,58385,49637,108022,0.54,0.46,outagamie_wi
allen_oh,11616.0,11.3,9.0,0.0,32402.0,31.7,10.0,0.0,47288.0,46.2,11.0,47.7,allen_oh,Allen County,OH,3.0,1.0,102351.0,18509.0,60350.0,allen_oh,18.0,0.361,0.083,0.278,allen_oh,OH,Donald Trump,REP,33116,14890,48006,0.69,0.31,allen_oh
dekalb_al,5344.0,7.5,13.0,0.0,21388.0,29.9,13.0,0.0,29525.0,41.3,14.0,34.2,dekalb_al,DeKalb County,AL,4.0,0.0,71513.0,12601.0,41791.0,dekalb_al,21.0,0.351,0.173,0.178,dekalb_al,AL,Donald Trump,REP,24767,4589,29356,0.844,0.156,dekalb_al
taylor_wi,1989.0,9.8,1.0,0.0,6328.0,31.1,1.0,0.0,7548.0,37.1,2.0,54.0,taylor_wi,Taylor County,WI,1.0,0.0,20343.0,3980.0,11613.0,taylor_wi,14.0,0.411,0.063,0.348,taylor_wi,WI,Donald Trump,REP,7657,3029,10686,0.717,0.283,taylor_wi
grady_ga,813.0,3.3,13.0,0.0,4314.0,17.5,13.0,0.0,12242.0,49.7,15.0,32.7,grady_ga,Grady County,GA,4.0,0.0,24633.0,4563.0,13968.0,grady_ga,6.0,0.364,0.072,0.292,grady_ga,GA,Donald Trump,REP,7034,3673,10707,0.657,0.343,grady_ga
williamsburg city_va,169.0,1.1,5.0,0.0,562.0,3.8,5.0,0.0,6718.0,44.9,6.0,4.9,williamsburg city_va,Williamsburg city,VA,2.0,1.0,14954.0,2620.0,10701.0,williamsburg city_va,3.0,0.076,0.025,0.05,williamsburg city_va,VA,Joe Biden,DEM,4790,2093,6883,0.304,0.696,williamsburg city_va
cass_ia,2504.0,19.5,1.0,0.0,6942.0,54.1,4.0,0.0,7940.0,61.9,4.0,56.4,cass_ia,Cass County,IA,1.0,0.0,12836.0,3022.0,6973.0,cass_ia,11.0,0.242,0.053,0.189,cass_ia,IA,Donald Trump,REP,4969,2307,7276,0.683,0.317,cass_ia
woodruff_ar,1066.0,16.9,13.0,0.0,3509.0,55.5,15.0,0.0,4048.0,64.1,16.0,27.7,woodruff_ar,Woodruff County,AR,4.0,0.0,6320.0,1476.0,3492.0,woodruff_ar,9.0,0.176,0.078,0.098,woodruff_ar,AR,Donald Trump,REP,1543,933,2476,0.623,0.377,woodruff_ar
osborne_ks,675.0,19.7,1.0,0.0,1328.0,38.8,2.0,0.0,1551.0,45.3,3.0,50.7,osborne_ks,Osborne County,KS,1.0,0.0,3421.0,854.0,1833.0,osborne_ks,10.0,0.25,0.055,0.196,osborne_ks,KS,Donald Trump,REP,1590,309,1899,0.837,0.163,osborne_ks
twiggs_ga,143.0,1.8,13.0,0.0,972.0,12.0,13.0,0.0,5153.0,63.5,16.0,29.4,twiggs_ga,Twiggs County,GA,4.0,1.0,8120.0,1895.0,4663.0,twiggs_ga,6.0,0.215,0.099,0.116,twiggs_ga,GA,Donald Trump,REP,2370,2074,4444,0.533,0.467,twiggs_ga
whatcom_wa,35666.0,15.6,5.0,0.0,168674.0,73.6,8.0,0.0,180711.0,78.8,8.0,53.4,whatcom_wa,Whatcom County,WA,2.0,1.0,229247.0,41205.0,144088.0,whatcom_wa,19.0,0.135,0.04,0.096,whatcom_wa,WA,Joe Biden,DEM,83660,54960,138620,0.396,0.604,whatcom_wa
grant_in,9710.0,14.8,9.0,0.0,25519.0,38.8,10.0,0.0,30403.0,46.2,11.0,41.8,grant_in,Grant County,IN,3.0,0.0,65769.0,12783.0,39366.0,grant_in,14.0,0.345,0.113,0.232,grant_in,IN,Donald Trump,REP,18543,8616,27159,0.683,0.317,grant_in
beltrami_mn,11981.0,25.4,13.0,0.0,26858.0,56.9,15.0,0.0,34971.0,74.1,16.0,47.5,beltrami_mn,Beltrami County,MN,4.0,0.0,47188.0,7773.0,27569.0,beltrami_mn,18.0,0.192,0.054,0.137,beltrami_mn,MN,Donald Trump,REP,12188,12001,24189,0.504,0.496,beltrami_mn
garfield_mt,138.0,11.0,1.0,0.0,229.0,18.2,1.0,0.0,277.0,22.0,1.0,36.2,garfield_mt,Garfield County,MT,1.0,0.0,1258.0,303.0,663.0,garfield_mt,7.0,0.463,0.07,0.393,garfield_mt,MT,Donald Trump,REP,764,49,813,0.94,0.06,garfield_mt
ulster_ny,21819.0,12.3,5.0,0.0,117679.0,66.3,8.0,0.0,143572.0,80.9,8.0,54.4,ulster_ny,Ulster County,NY,2.0,1.0,177573.0,36183.0,110446.0,ulster_ny,61.0,0.148,0.034,0.114,ulster_ny,NY,Joe Biden,DEM,57970,39450,97420,0.405,0.595,ulster_ny
lake_il,104713.0,15.0,5.0,0.0,505331.0,72.5,8.0,0.0,613768.0,88.1,8.0,48.3,lake_il,Lake County,IL,2.0,1.0,696535.0,103201.0,427168.0,lake_il,34.0,0.102,0.033,0.068,lake_il,IL,Joe Biden,DEM,204032,130124,334156,0.389,0.611,lake_il
