county_state,n_zipcodes,pct_hesitant_02-24-22,pct_somewhat_hesitant_02-24-22,pct_highly_hesitant_02-24-22
abbeville_sc,13.0,0.293,0.108,0.185
acadia parish_la,15.0,0.29,0.083,0.207
accomack_va,33.0,0.214,0.087,0.126
ada_id,17.0,0.165,0.037,0.128
adair_ia,13.0,0.29,0.059,0.231
adair_ky,10.0,0.338,0.113,0.224
adair_mo,9.0,0.266,0.062,0.204
adair_ok,8.0,0.381,0.115,0.267
adams_co,34.0,0.132,0.031,0.101
adams_ia,10.0,0.219,0.051,0.168
adams_id,5.0,0.321,0.067,0.255
adams_il,22.0,0.351,0.067,0.283
adams_in,8.0,0.316,0.056,0.26
adams_ms,2.0,0.278,0.129,0.148
adams_nd,6.0,0.262,0.062,0.2
adams_ne,12.0,0.279,0.075,0.204
adams_oh,10.0,0.256,0.1,0.156
adams_pa,17.0,0.201,0.067,0.134
adams_wa,10.0,0.226,0.064,0.162
adams_wi,14.0,0.303,0.06,0.243
addison_vt,19.0,0.117,0.013,0.105
aiken_sc,23.0,0.219,0.054,0.166
aitkin_mn,12.0,0.198,0.056,0.141
alachua_fl,22.0,0.201,0.052,0.15
alamance_nc,12.0,0.182,0.042,0.14
alameda_ca,53.0,0.047,0.013,0.034
alamosa_co,5.0,0.155,0.035,0.121
albany_ny,45.0,0.14,0.032,0.108
albany_wy,13.0,0.249,0.044,0.205
albemarle_va,24.0,0.067,0.02,0.047
alcona_mi,13.0,0.23,0.05,0.18
alcorn_ms,5.0,0.389,0.137,0.252
aleutians east borough_ak,5.0,0.14,0.048,0.092
aleutians west census area_ak,7.0,0.088,0.041,0.047
alexander_il,8.0,0.212,0.059,0.153
alexander_nc,8.0,0.268,0.085,0.183
alexandria city_va,8.0,0.04,0.016,0.024
alfalfa_ok,10.0,0.345,0.083,0.262
alger_mi,14.0,0.178,0.034,0.145
allamakee_ia,10.0,0.231,0.049,0.182
allegan_mi,25.0,0.203,0.043,0.161
allegany_md,15.0,0.252,0.047,0.205
allegany_ny,35.0,0.203,0.061,0.142
alleghany_nc,7.0,0.124,0.044,0.08
alleghany_va,7.0,0.202,0.047,0.155
allegheny_pa,114.0,0.145,0.046,0.098
allen_in,32.0,0.242,0.05,0.192
allen_ks,10.0,0.36,0.13,0.23
allen_ky,6.0,0.292,0.146,0.146
allen_oh,18.0,0.361,0.083,0.278
allen parish_la,12.0,0.51,0.133,0.377
allendale_sc,6.0,0.3,0.1,0.201
alpena_mi,8.0,0.311,0.061,0.249
alpine_ca,3.0,0.122,0.032,0.089
amador_ca,12.0,0.223,0.056,0.167
amelia_va,5.0,0.163,0.054,0.108
amherst_va,9.0,0.128,0.053,0.075
amite_ms,9.0,0.292,0.135,0.156
anchorage municipality_ak,17.0,0.161,0.049,0.112
anderson_ks,10.0,0.292,0.079,0.213
anderson_ky,4.0,0.262,0.07,0.192
anderson_sc,19.0,0.296,0.087,0.209
anderson_tn,10.0,0.207,0.063,0.143
anderson_tx,10.0,0.352,0.065,0.287
andrew_mo,15.0,0.278,0.06,0.218
andrews_tx,1.0,0.17,0.093,0.077
androscoggin_me,15.0,0.191,0.042,0.149
angelina_tx,6.0,0.313,0.074,0.239
anne arundel_md,42.0,0.086,0.025,0.06
anoka_mn,19.0,0.181,0.033,0.148
anson_nc,8.0,0.2,0.054,0.147
antelope_ne,11.0,0.309,0.067,0.242
antrim_mi,16.0,0.19,0.037,0.153
apache_az,36.0,0.117,0.05,0.067
appanoose_ia,11.0,0.258,0.055,0.203
appling_ga,5.0,0.371,0.156,0.215
appomattox_va,8.0,0.213,0.057,0.156
aransas_tx,5.0,0.223,0.074,0.149
arapahoe_co,32.0,0.101,0.022,0.08
archer_tx,9.0,0.188,0.062,0.126
archuleta_co,5.0,0.149,0.046,0.104
arenac_mi,9.0,0.302,0.059,0.242
arkansas_ar,10.0,0.206,0.062,0.144
arlington_va,12.0,0.026,0.007,0.019
armstrong_pa,36.0,0.288,0.067,0.221
armstrong_tx,4.0,0.36,0.111,0.249
aroostook_me,44.0,0.153,0.046,0.107
arthur_ne,4.0,0.344,0.087,0.257
ascension parish_la,7.0,0.319,0.095,0.225
ashe_nc,13.0,0.164,0.04,0.124
ashland_oh,18.0,0.27,0.08,0.19
ashland_wi,11.0,0.168,0.049,0.12
ashley_ar,7.0,0.234,0.076,0.157
ashtabula_oh,19.0,0.25,0.074,0.175
asotin_wa,3.0,0.17,0.061,0.109
assumption parish_la,8.0,0.32,0.127,0.193
atascosa_tx,14.0,0.21,0.081,0.129
atchison_ks,10.0,0.286,0.078,0.207
atchison_mo,8.0,0.195,0.063,0.132
athens_oh,18.0,0.189,0.059,0.13
atkinson_ga,5.0,0.251,0.075,0.176
atlantic_nj,30.0,0.128,0.039,0.089
atoka_ok,13.0,0.38,0.101,0.278
attala_ms,9.0,0.216,0.098,0.118
audrain_mo,13.0,0.212,0.061,0.152
audubon_ia,10.0,0.247,0.05,0.197
auglaize_oh,18.0,0.371,0.078,0.293
augusta_va,27.0,0.156,0.047,0.109
aurora_sd,6.0,0.239,0.051,0.187
austin_tx,13.0,0.227,0.079,0.148
autauga_al,10.0,0.345,0.114,0.231
avery_nc,12.0,0.246,0.072,0.174
avoyelles parish_la,15.0,0.336,0.109,0.227
baca_co,7.0,0.403,0.101,0.302
bacon_ga,3.0,0.424,0.142,0.282
bailey_tx,6.0,0.332,0.065,0.267
baker_fl,5.0,0.343,0.073,0.269
baker_ga,6.0,0.175,0.072,0.103
baker_or,13.0,0.285,0.062,0.223
baldwin_al,24.0,0.288,0.074,0.215
baldwin_ga,6.0,0.203,0.117,0.086
ballard_ky,6.0,0.237,0.071,0.166
baltimore_md,55.0,0.089,0.031,0.058
baltimore city_md,31.0,0.102,0.041,0.06
bamberg_sc,8.0,0.183,0.067,0.116
bandera_tx,7.0,0.264,0.122,0.142
banks_ga,11.0,0.341,0.098,0.243
banner_ne,7.0,0.282,0.066,0.217
bannock_id,10.0,0.219,0.079,0.14
baraga_mi,7.0,0.159,0.048,0.112
barber_ks,10.0,0.309,0.064,0.244
barbour_al,9.0,0.273,0.083,0.19
barbour_wv,12.0,0.178,0.069,0.109
barnes_nd,19.0,0.163,0.047,0.116
barnstable_ma,50.0,0.061,0.016,0.046
barnwell_sc,7.0,0.312,0.089,0.223
barren_ky,11.0,0.32,0.143,0.176
barron_wi,19.0,0.332,0.082,0.25
barrow_ga,8.0,0.213,0.072,0.141
barry_mi,16.0,0.217,0.061,0.156
barry_mo,18.0,0.249,0.07,0.179
bartholomew_in,11.0,0.222,0.068,0.155
barton_ks,10.0,0.357,0.173,0.184
barton_mo,8.0,0.344,0.086,0.258
bartow_ga,14.0,0.313,0.078,0.235
bastrop_tx,13.0,0.208,0.055,0.153
bates_mo,13.0,0.261,0.061,0.2
bath_ky,7.0,0.274,0.075,0.199
bath_va,6.0,0.188,0.035,0.154
baxter_ar,13.0,0.27,0.088,0.182
bay_fl,15.0,0.318,0.091,0.227
bay_mi,17.0,0.242,0.051,0.19
bayfield_wi,15.0,0.173,0.062,0.11
baylor_tx,1.0,0.379,0.142,0.237
beadle_sd,11.0,0.234,0.066,0.168
bear lake_id,10.0,0.384,0.064,0.32
beaufort_nc,14.0,0.245,0.078,0.167
beaufort_sc,16.0,0.14,0.04,0.1
beauregard parish_la,9.0,0.347,0.114,0.233
beaver_ok,6.0,0.324,0.088,0.235
beaver_pa,27.0,0.193,0.046,0.147
beaver_ut,5.0,0.224,0.051,0.173
beaverhead_mt,10.0,0.293,0.054,0.238
becker_mn,18.0,0.28,0.065,0.216
beckham_ok,5.0,0.401,0.167,0.234
bedford_pa,29.0,0.326,0.097,0.229
bedford_tn,13.0,0.292,0.115,0.177
bedford_va,19.0,0.194,0.053,0.141
bee_tx,11.0,0.345,0.068,0.277
belknap_nh,15.0,0.186,0.05,0.136
bell_ky,11.0,0.253,0.153,0.1
bell_tx,23.0,0.222,0.061,0.16
belmont_oh,29.0,0.27,0.091,0.18
beltrami_mn,18.0,0.192,0.054,0.137
ben hill_ga,4.0,0.27,0.095,0.175
benewah_id,7.0,0.25,0.081,0.169
bennett_sd,7.0,0.162,0.052,0.11
bennington_vt,19.0,0.132,0.017,0.115
benson_nd,17.0,0.18,0.058,0.121
bent_co,7.0,0.313,0.082,0.23
benton_ar,20.0,0.192,0.072,0.121
benton_ia,23.0,0.247,0.048,0.199
benton_in,9.0,0.236,0.066,0.169
benton_mn,9.0,0.264,0.067,0.197
benton_mo,13.0,0.342,0.081,0.261
benton_ms,11.0,0.309,0.094,0.215
benton_or,10.0,0.148,0.048,0.101
benton_tn,6.0,0.403,0.076,0.328
benton_wa,12.0,0.189,0.038,0.151
benzie_mi,11.0,0.164,0.032,0.132
bergen_nj,67.0,0.075,0.024,0.051
berkeley_sc,17.0,0.196,0.057,0.139
berkeley_wv,11.0,0.22,0.072,0.148
berks_pa,63.0,0.171,0.039,0.132
berkshire_ma,33.0,0.069,0.023,0.047
bernalillo_nm,25.0,0.11,0.045,0.065
berrien_ga,6.0,0.414,0.123,0.29
berrien_mi,24.0,0.274,0.061,0.214
bertie_nc,9.0,0.2,0.085,0.115
bethel census area_ak,27.0,0.107,0.039,0.069
bexar_tx,78.0,0.143,0.051,0.092
bibb_al,12.0,0.344,0.093,0.252
bibb_ga,13.0,0.167,0.063,0.104
bienville parish_la,13.0,0.375,0.119,0.257
big horn_mt,17.0,0.196,0.067,0.129
big horn_wy,15.0,0.334,0.091,0.242
big stone_mn,9.0,0.189,0.039,0.15
billings_nd,6.0,0.316,0.058,0.258
bingham_id,11.0,0.291,0.095,0.196
black hawk_ia,16.0,0.188,0.056,0.132
blackford_in,4.0,0.33,0.071,0.259
bladen_nc,17.0,0.222,0.081,0.142
blaine_id,9.0,0.161,0.047,0.115
blaine_mt,8.0,0.1,0.051,0.049
blaine_ne,4.0,0.361,0.069,0.292
blaine_ok,11.0,0.385,0.082,0.304
blair_pa,19.0,0.249,0.081,0.168
blanco_tx,10.0,0.212,0.055,0.158
bland_va,6.0,0.201,0.066,0.135
bleckley_ga,5.0,0.269,0.113,0.156
bledsoe_tn,9.0,0.358,0.098,0.26
blount_al,17.0,0.31,0.13,0.18
blount_tn,13.0,0.215,0.061,0.154
blue earth_mn,16.0,0.159,0.036,0.123
boise_id,9.0,0.322,0.043,0.279
bolivar_ms,18.0,0.183,0.091,0.092
bollinger_mo,13.0,0.423,0.086,0.337
bon homme_sd,6.0,0.242,0.051,0.191
bond_il,10.0,0.329,0.116,0.213
bonner_id,18.0,0.308,0.035,0.273
bonneville_id,12.0,0.235,0.082,0.152
boone_ar,9.0,0.349,0.088,0.261
boone_ia,15.0,0.175,0.044,0.13
boone_il,15.0,0.195,0.046,0.149
boone_in,12.0,0.175,0.043,0.133
boone_ky,9.0,0.208,0.065,0.143
boone_mo,12.0,0.14,0.042,0.098
boone_ne,6.0,0.24,0.059,0.181
boone_wv,30.0,0.326,0.097,0.23
borden_tx,7.0,0.282,0.07,0.212
bosque_tx,11.0,0.302,0.067,0.235
bossier parish_la,15.0,0.252,0.096,0.156
botetourt_va,12.0,0.183,0.056,0.127
bottineau_nd,14.0,0.277,0.06,0.217
boulder_co,23.0,0.077,0.019,0.058
boundary_id,5.0,0.394,0.045,0.349
bourbon_ks,12.0,0.277,0.083,0.194
bourbon_ky,8.0,0.224,0.071,0.153
bowie_tx,10.0,0.317,0.058,0.259
bowman_nd,5.0,0.293,0.074,0.219
box butte_ne,2.0,0.309,0.039,0.271
box elder_ut,21.0,0.295,0.097,0.199
boyd_ky,4.0,0.272,0.084,0.188
boyd_ne,5.0,0.347,0.078,0.269
boyle_ky,5.0,0.163,0.066,0.097
bracken_ky,6.0,0.241,0.061,0.18
bradford_fl,9.0,0.28,0.064,0.217
bradford_pa,24.0,0.336,0.079,0.257
bradley_ar,6.0,0.357,0.157,0.199
bradley_tn,7.0,0.309,0.068,0.241
branch_mi,13.0,0.302,0.069,0.234
brantley_ga,6.0,0.445,0.084,0.36
braxton_wv,14.0,0.31,0.075,0.235
brazoria_tx,16.0,0.227,0.05,0.177
brazos_tx,9.0,0.19,0.044,0.146
breathitt_ky,9.0,0.279,0.106,0.174
breckinridge_ky,17.0,0.231,0.075,0.156
bremer_ia,11.0,0.226,0.088,0.138
brevard_fl,28.0,0.206,0.056,0.15
brewster_tx,6.0,0.253,0.098,0.156
briscoe_tx,4.0,0.331,0.071,0.261
bristol bay borough_ak,3.0,0.231,0.056,0.175
bristol_ma,36.0,0.165,0.049,0.116
bristol_ri,3.0,0.04,0.013,0.027
bristol city_va,2.0,0.243,0.076,0.167
broadwater_mt,5.0,0.289,0.056,0.233
bronx_ny,26.0,0.059,0.02,0.039
brooke_wv,8.0,0.269,0.092,0.178
brookings_sd,10.0,0.145,0.038,0.108
brooks_ga,8.0,0.244,0.085,0.16
brooks_tx,2.0,0.135,0.049,0.086
broome_ny,29.0,0.175,0.054,0.12
broomfield_co,6.0,0.083,0.021,0.062
broward_fl,53.0,0.108,0.039,0.068
brown_il,5.0,0.342,0.069,0.273
brown_in,9.0,0.198,0.044,0.154
brown_ks,11.0,0.353,0.101,0.252
brown_mn,10.0,0.237,0.053,0.184
brown_ne,3.0,0.24,0.043,0.197
brown_oh,19.0,0.286,0.089,0.197
brown_sd,16.0,0.242,0.065,0.177
brown_tx,10.0,0.342,0.092,0.25
brown_wi,19.0,0.235,0.057,0.178
brule_sd,5.0,0.286,0.051,0.235
brunswick_nc,14.0,0.193,0.054,0.139
brunswick_va,16.0,0.227,0.051,0.176
bryan_ga,3.0,0.256,0.082,0.174
bryan_ok,14.0,0.452,0.089,0.363
buchanan_ia,15.0,0.171,0.052,0.119
buchanan_mo,15.0,0.298,0.074,0.225
buchanan_va,17.0,0.242,0.09,0.153
buckingham_va,11.0,0.158,0.046,0.112
bucks_pa,54.0,0.122,0.03,0.092
buena vista_ia,12.0,0.29,0.055,0.235
buena vista city_va,1.0,0.13,0.04,0.089
buffalo_ne,13.0,0.203,0.058,0.145
buffalo_sd,5.0,0.242,0.055,0.187
buffalo_wi,8.0,0.218,0.045,0.173
bullitt_ky,11.0,0.202,0.059,0.143
bulloch_ga,11.0,0.277,0.104,0.174
bullock_al,7.0,0.19,0.116,0.074
buncombe_nc,18.0,0.14,0.031,0.108
bureau_il,31.0,0.182,0.04,0.142
burke_ga,9.0,0.195,0.099,0.097
burke_nc,15.0,0.24,0.095,0.145
burke_nd,9.0,0.272,0.063,0.21
burleigh_nd,12.0,0.27,0.055,0.215
burleson_tx,4.0,0.363,0.122,0.241
burlington_nj,38.0,0.122,0.029,0.092
burnet_tx,12.0,0.26,0.077,0.183
burnett_wi,10.0,0.276,0.061,0.215
burt_ne,7.0,0.37,0.061,0.309
butler_al,8.0,0.277,0.089,0.188
butler_ia,14.0,0.195,0.048,0.147
butler_ks,18.0,0.185,0.044,0.141
butler_ky,9.0,0.236,0.093,0.143
butler_mo,12.0,0.474,0.137,0.337
butler_ne,12.0,0.231,0.051,0.18
butler_oh,17.0,0.241,0.082,0.159
butler_pa,37.0,0.23,0.054,0.176
butte_ca,19.0,0.248,0.082,0.166
butte_id,3.0,0.202,0.042,0.16
butte_sd,6.0,0.352,0.065,0.287
butts_ga,5.0,0.182,0.069,0.113
cabarrus_nc,16.0,0.192,0.062,0.13
cabell_wv,13.0,0.2,0.075,0.124
cache_ut,17.0,0.175,0.042,0.133
caddo_ok,16.0,0.298,0.083,0.216
caddo parish_la,25.0,0.207,0.069,0.138
calaveras_ca,20.0,0.219,0.058,0.161
calcasieu parish_la,15.0,0.294,0.096,0.198
caldwell_ky,5.0,0.274,0.088,0.185
caldwell_mo,9.0,0.292,0.067,0.226
caldwell_nc,8.0,0.268,0.083,0.184
caldwell_tx,14.0,0.264,0.069,0.195
caldwell parish_la,4.0,0.342,0.081,0.261
caledonia_vt,20.0,0.152,0.034,0.118
calhoun_al,14.0,0.221,0.106,0.115
calhoun_ar,7.0,0.273,0.078,0.195
calhoun_fl,6.0,0.318,0.072,0.246
calhoun_ga,6.0,0.212,0.094,0.118
calhoun_ia,11.0,0.269,0.08,0.189
calhoun_il,10.0,0.356,0.089,0.267
calhoun_mi,22.0,0.251,0.078,0.173
calhoun_ms,11.0,0.322,0.133,0.189
calhoun_sc,7.0,0.236,0.083,0.154
calhoun_tx,6.0,0.272,0.091,0.182
calhoun_wv,13.0,0.28,0.091,0.19
callahan_tx,9.0,0.401,0.101,0.3
callaway_mo,19.0,0.257,0.065,0.193
calloway_ky,9.0,0.299,0.094,0.206
calumet_wi,14.0,0.23,0.048,0.182
calvert_md,13.0,0.118,0.035,0.083
camas_id,4.0,0.197,0.039,0.158
cambria_pa,51.0,0.23,0.079,0.151
camden_ga,7.0,0.211,0.046,0.165
camden_mo,18.0,0.316,0.068,0.247
camden_nc,5.0,0.22,0.06,0.161
camden_nj,35.0,0.109,0.033,0.075
cameron_pa,4.0,0.191,0.054,0.137
cameron_tx,17.0,0.135,0.042,0.093
cameron parish_la,8.0,0.253,0.073,0.18
camp_tx,2.0,0.511,0.181,0.331
campbell_ky,11.0,0.166,0.081,0.086
campbell_sd,6.0,0.27,0.05,0.219
campbell_tn,10.0,0.305,0.094,0.211
campbell_va,13.0,0.229,0.069,0.159
campbell_wy,7.0,0.562,0.161,0.4
canadian_ok,13.0,0.262,0.08,0.182
candler_ga,3.0,0.21,0.077,0.133
cannon_tn,9.0,0.259,0.092,0.167
canyon_id,13.0,0.272,0.068,0.204
cape girardeau_mo,19.0,0.358,0.07,0.288
cape may_nj,15.0,0.131,0.052,0.079
carbon_mt,13.0,0.319,0.079,0.241
carbon_pa,21.0,0.23,0.076,0.153
carbon_ut,6.0,0.261,0.081,0.179
carbon_wy,14.0,0.342,0.075,0.267
caribou_id,7.0,0.272,0.052,0.22
carlisle_ky,4.0,0.354,0.095,0.258
carlton_mn,15.0,0.153,0.039,0.114
caroline_md,9.0,0.173,0.079,0.094
caroline_va,10.0,0.19,0.056,0.134
carroll_ar,8.0,0.231,0.072,0.159
carroll_ga,10.0,0.293,0.1,0.193
carroll_ia,14.0,0.265,0.067,0.198
carroll_il,9.0,0.312,0.065,0.247
carroll_in,15.0,0.219,0.066,0.153
carroll_ky,8.0,0.346,0.1,0.246
carroll_md,15.0,0.122,0.027,0.095
carroll_mo,10.0,0.349,0.071,0.278
carroll_ms,13.0,0.221,0.098,0.123
carroll_nh,29.0,0.128,0.027,0.1
carroll_oh,20.0,0.284,0.088,0.196
carroll_tn,14.0,0.366,0.102,0.265
carroll_va,16.0,0.188,0.052,0.136
carson city_nv,5.0,0.212,0.052,0.16
carson_tx,6.0,0.276,0.072,0.204
carter_ky,8.0,0.266,0.075,0.191
carter_mo,5.0,0.446,0.094,0.352
carter_mt,4.0,0.51,0.089,0.421
carter_ok,11.0,0.316,0.091,0.225
carter_tn,8.0,0.25,0.102,0.149
carteret_nc,18.0,0.197,0.062,0.135
carver_mn,17.0,0.139,0.037,0.102
cascade_mt,17.0,0.299,0.107,0.192
casey_ky,13.0,0.356,0.089,0.268
cass_ia,11.0,0.242,0.053,0.189
cass_il,7.0,0.16,0.044,0.116
cass_in,11.0,0.225,0.101,0.124
cass_mi,14.0,0.258,0.047,0.211
cass_mn,23.0,0.221,0.043,0.178
cass_mo,17.0,0.194,0.057,0.137
cass_nd,29.0,0.133,0.036,0.096
cass_ne,17.0,0.199,0.042,0.157
cass_tx,14.0,0.342,0.086,0.256
cassia_id,9.0,0.305,0.075,0.229
castro_tx,10.0,0.351,0.106,0.245
caswell_nc,15.0,0.179,0.052,0.127
catahoula parish_la,9.0,0.357,0.099,0.258
catawba_nc,14.0,0.25,0.12,0.129
catoosa_ga,8.0,0.304,0.091,0.213
catron_nm,9.0,0.226,0.042,0.183
cattaraugus_ny,36.0,0.216,0.051,0.165
cavalier_nd,15.0,0.155,0.038,0.117
cayuga_ny,27.0,0.177,0.053,0.123
cecil_md,16.0,0.199,0.073,0.126
cedar_ia,18.0,0.207,0.058,0.149
cedar_mo,9.0,0.315,0.074,0.241
cedar_ne,13.0,0.304,0.075,0.228
centre_pa,33.0,0.125,0.043,0.082
cerro gordo_ia,16.0,0.223,0.052,0.171
chaffee_co,6.0,0.144,0.034,0.11
chambers_al,10.0,0.265,0.101,0.164
chambers_tx,10.0,0.249,0.071,0.177
champaign_il,35.0,0.162,0.075,0.087
champaign_oh,17.0,0.403,0.09,0.313
chariton_mo,12.0,0.294,0.056,0.239
charles city_va,4.0,0.129,0.057,0.072
charles_md,24.0,0.148,0.039,0.109
charles mix_sd,9.0,0.18,0.049,0.131
charleston_sc,30.0,0.124,0.035,0.089
charlevoix_mi,10.0,0.179,0.044,0.135
charlotte_fl,16.0,0.178,0.039,0.139
charlotte_va,13.0,0.249,0.067,0.182
charlottesville city_va,4.0,0.038,0.014,0.024
charlton_ga,4.0,0.398,0.109,0.289
chase_ks,10.0,0.216,0.04,0.175
chase_ne,6.0,0.455,0.13,0.325
chatham_ga,14.0,0.152,0.053,0.098
chatham_nc,18.0,0.147,0.042,0.105
chattahoochee_ga,2.0,0.251,0.094,0.156
chattooga_ga,6.0,0.308,0.144,0.164
chautauqua_ks,10.0,0.322,0.068,0.254
chautauqua_ny,36.0,0.222,0.086,0.135
chaves_nm,9.0,0.263,0.095,0.168
cheatham_tn,10.0,0.237,0.075,0.162
cheboygan_mi,14.0,0.234,0.044,0.19
chelan_wa,13.0,0.212,0.028,0.185
chemung_ny,20.0,0.236,0.06,0.176
chenango_ny,26.0,0.253,0.081,0.173
cherokee_al,11.0,0.293,0.137,0.156
cherokee_ga,15.0,0.237,0.063,0.173
cherokee_ia,15.0,0.221,0.065,0.156
cherokee_ks,14.0,0.277,0.07,0.207
cherokee_nc,5.0,0.408,0.118,0.291
cherokee_ok,14.0,0.272,0.09,0.181
cherokee_sc,7.0,0.314,0.086,0.228
cherokee_tx,12.0,0.358,0.077,0.281
cherry_ne,16.0,0.302,0.091,0.211
chesapeake city_va,6.0,0.126,0.022,0.104
cheshire_nh,26.0,0.155,0.04,0.115
chester_pa,43.0,0.116,0.032,0.084
chester_sc,11.0,0.288,0.09,0.198
chester_tn,12.0,0.285,0.071,0.214
chesterfield_sc,11.0,0.29,0.105,0.185
chesterfield_va,17.0,0.115,0.033,0.082
cheyenne_co,5.0,0.213,0.031,0.182
cheyenne_ks,4.0,0.273,0.058,0.214
cheyenne_ne,5.0,0.369,0.117,0.252
chickasaw_ia,9.0,0.257,0.071,0.186
chickasaw_ms,8.0,0.346,0.164,0.181
chicot_ar,6.0,0.213,0.088,0.124
childress_tx,3.0,0.294,0.069,0.226
chilton_al,14.0,0.373,0.119,0.254
chippewa_mi,15.0,0.131,0.035,0.096
chippewa_mn,10.0,0.188,0.046,0.142
chippewa_wi,14.0,0.25,0.057,0.193
chisago_mn,15.0,0.308,0.029,0.28
chittenden_vt,20.0,0.077,0.012,0.065
choctaw_al,11.0,0.16,0.079,0.08
choctaw_ms,9.0,0.256,0.093,0.164
choctaw_ok,10.0,0.422,0.115,0.307
chouteau_mt,10.0,0.204,0.073,0.13
chowan_nc,4.0,0.244,0.085,0.159
christian_il,20.0,0.286,0.065,0.221
christian_ky,13.0,0.263,0.113,0.15
christian_mo,20.0,0.274,0.048,0.226
chugach census area_ak,4.0,0.224,0.035,0.189
churchill_nv,2.0,0.293,0.073,0.22
cibola_nm,18.0,0.149,0.042,0.106
cimarron_ok,5.0,0.282,0.085,0.197
citrus_fl,15.0,0.292,0.081,0.211
clackamas_or,37.0,0.138,0.028,0.11
claiborne_ms,5.0,0.13,0.069,0.061
claiborne_tn,9.0,0.268,0.06,0.208
claiborne parish_la,11.0,0.32,0.111,0.209
clallam_wa,9.0,0.194,0.045,0.149
clare_mi,7.0,0.339,0.072,0.267
clarendon_sc,10.0,0.256,0.051,0.206
clarion_pa,30.0,0.314,0.062,0.252
